node,pod,container,cpu,memory
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1032709955n,2646080Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000433808n,402940Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21568290n,204308Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21481163n,204316Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000395746n,403048Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1022882910n,2655448Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000575873n,402364Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,20933198n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1016220965n,2669476Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21650043n,204316Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000280064n,404216Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1016220965n,2669476Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21650043n,204316Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000280064n,404216Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1016220965n,2669476Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000280064n,404216Ki
nodeserf1,periodic-log-generator-job-gzqck,sim-gen,21650043n,204316Ki
nodeserf2,dataread-deployment-7649bd9657-xpzdv,dataread,1016220965n,2669476Ki
nodeserf1,periodic-log-generator-job-gzqck,logging-agent,1000280064n,404216Ki
