id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size,id_server
t2jvc,1,anomaly,1739265135.8307142,1739265135.831264,1739265136.0963485,1739265136.0982113,1739265136.0987096,239,75c9b
t2jvc,2,anomaly,1739265136.432348,1739265136.4330306,1739265136.527277,1739265136.528867,1739265136.5291874,239,6c9q8
t2jvc,3,anomaly,1739265137.0337238,1739265137.0342476,1739265137.131159,1739265137.1327271,1739265137.1330056,239,2pn2j
t2jvc,4,anomaly,1739265137.6383278,1739265137.6388469,1739265137.7508886,1739265137.7525032,1739265137.7529333,239,qxb58
t2jvc,5,anomaly,1739265138.2398477,1739265138.2403057,1739265138.337525,1739265138.3390195,1739265138.3392544,239,rgx7t
t2jvc,6,anomaly,1739265138.8411455,1739265138.841688,1739265138.931528,1739265138.9329638,1739265138.9333863,239,679bv
t2jvc,7,anomaly,1739265139.4423783,1739265139.4428327,1739265139.5472686,1739265139.548618,1739265139.5488129,239,75c9b
t2jvc,8,anomaly,1739265140.043537,1739265140.0438635,1739265140.136821,1739265140.1383498,1739265140.1385512,239,6c9q8
t2jvc,9,anomaly,1739265140.6448994,1739265140.6456978,1739265140.7377012,1739265140.7391787,1739265140.7394025,239,2pn2j
t2jvc,10,anomaly,1739265141.2463894,1739265141.2469354,1739265141.3354456,1739265141.3368373,1739265141.3370762,239,qxb58
t2jvc,11,anomaly,1739265141.8476474,1739265141.848042,1739265141.9407954,1739265141.9422119,1739265141.9423833,239,rgx7t
t2jvc,12,anomaly,1739265142.4490933,1739265142.449638,1739265142.5598574,1739265142.5611866,1739265142.561382,239,679bv
t2jvc,13,anomaly,1739265143.0539644,1739265143.0544782,1739265143.1452837,1739265143.1466963,1739265143.1469207,239,75c9b
t2jvc,14,anomaly,1739265143.6612525,1739265143.6620255,1739265143.7651958,1739265143.76685,1739265143.7670412,239,6c9q8
t2jvc,15,anomaly,1739265144.262908,1739265144.2634816,1739265144.3659472,1739265144.3673027,1739265144.3674643,239,2pn2j
t2jvc,16,anomaly,1739265144.8646727,1739265144.865415,1739265144.959482,1739265144.9609485,1739265144.9611256,239,qxb58
t2jvc,17,anomaly,1739265145.4659758,1739265145.4665263,1739265145.586219,1739265145.587771,1739265145.5879498,239,rgx7t
t2jvc,18,anomaly,1739265146.0672665,1739265146.0676868,1739265146.161324,1739265146.1626823,1739265146.162875,239,679bv
t2jvc,19,anomaly,1739265146.668501,1739265146.6688643,1739265146.7654142,1739265146.7668355,1739265146.7670026,239,75c9b
t2jvc,20,anomaly,1739265147.2698474,1739265147.270322,1739265147.373187,1739265147.3745294,1739265147.3746974,239,6c9q8
t2jvc,21,anomaly,1739265147.8712401,1739265147.8718784,1739265147.9645944,1739265147.965966,1739265147.9661515,239,2pn2j
t2jvc,22,anomaly,1739265148.4725287,1739265148.473028,1739265148.5754175,1739265148.5769331,1739265148.5771077,239,qxb58
t2jvc,23,anomaly,1739265149.073687,1739265149.0740223,1739265149.1837568,1739265149.1851835,1739265149.1853704,239,rgx7t
t2jvc,24,anomaly,1739265149.6750915,1739265149.6756487,1739265149.7755828,1739265149.776944,1739265149.777115,239,679bv
t2jvc,25,anomaly,1739265150.2764459,1739265150.2770693,1739265150.3817725,1739265150.38313,1739265150.3833086,239,75c9b
t2jvc,26,anomaly,1739265150.877994,1739265150.8785172,1739265150.9804583,1739265150.9818006,1739265150.981996,239,6c9q8
t2jvc,27,anomaly,1739265151.4795985,1739265151.480164,1739265151.5722249,1739265151.5736392,1739265151.5738716,239,2pn2j
t2jvc,28,anomaly,1739265152.0811071,1739265152.0816033,1739265152.18427,1739265152.1857285,1739265152.1859307,239,qxb58
t2jvc,29,anomaly,1739265152.6827269,1739265152.683229,1739265152.7806304,1739265152.7819166,1739265152.782051,239,rgx7t
t2jvc,30,anomaly,1739265153.2875388,1739265153.2880104,1739265153.3864496,1739265153.3878837,1739265153.3881104,239,679bv
t2jvc,31,anomaly,1739265153.889017,1739265153.8895845,1739265153.9798102,1739265153.981177,1739265153.9813564,239,75c9b
t2jvc,32,anomaly,1739265154.490444,1739265154.490961,1739265154.607243,1739265154.6085927,1739265154.6087646,239,6c9q8
t2jvc,33,anomaly,1739265155.0916958,1739265155.0920775,1739265155.1849709,1739265155.1864014,1739265155.1865768,239,2pn2j
t2jvc,34,anomaly,1739265155.6931298,1739265155.6936862,1739265155.801133,1739265155.8027058,1739265155.802884,239,qxb58
t2jvc,35,anomaly,1739265156.2945466,1739265156.295028,1739265156.4012537,1739265156.4029582,1739265156.4031224,239,rgx7t
t2jvc,36,anomaly,1739265156.8961043,1739265156.896607,1739265157.0034237,1739265157.004961,1739265157.0051968,239,679bv
t2jvc,37,anomaly,1739265157.4976726,1739265157.4982247,1739265157.6053104,1739265157.6067107,1739265157.6069546,239,75c9b
t2jvc,38,anomaly,1739265158.099095,1739265158.099636,1739265158.197361,1739265158.1987834,1739265158.1990252,239,6c9q8
t2jvc,39,anomaly,1739265158.7039876,1739265158.7043874,1739265158.79578,1739265158.7972355,1739265158.7974145,239,2pn2j
t2jvc,40,anomaly,1739265159.3052382,1739265159.3056428,1739265159.4069245,1739265159.4084575,1739265159.408667,239,qxb58
t2jvc,41,anomaly,1739265159.90665,1739265159.907166,1739265160.2821372,1739265160.2835317,1739265160.2837057,239,rgx7t
t2jvc,42,anomaly,1739265160.5083966,1739265160.5093198,1739265160.6204143,1739265160.6219091,1739265160.6220672,239,679bv
t2jvc,43,anomaly,1739265161.1098454,1739265161.1103475,1739265161.206707,1739265161.208063,1739265161.208233,239,75c9b
t2jvc,44,anomaly,1739265161.7112396,1739265161.7117631,1739265161.8173337,1739265161.8187518,1739265161.8189278,239,6c9q8
t2jvc,45,anomaly,1739265162.3128572,1739265162.3134882,1739265162.417776,1739265162.4191477,1739265162.419311,239,2pn2j
t2jvc,46,anomaly,1739265162.9140952,1739265162.9144583,1739265163.0189273,1739265163.0204747,1739265163.0206509,239,qxb58
t2jvc,47,anomaly,1739265163.5155096,1739265163.516408,1739265163.6262646,1739265163.627616,1739265163.6277637,239,rgx7t
t2jvc,48,anomaly,1739265164.1199815,1739265164.120504,1739265164.227683,1739265164.229075,1739265164.2292235,239,679bv
t2jvc,49,anomaly,1739265164.7217298,1739265164.7225196,1739265164.8165615,1739265164.8179743,1739265164.8181448,239,75c9b
