id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size,id_server
mnt8s,1,anomaly,1738951300.6468737,1738951300.647608,1738951300.8278177,1738951300.8328884,1738951300.8330853,231,bgbv5
mnt8s,2,anomaly,1738951300.9477262,1738951300.9481742,1738951301.0219586,1738951301.0270925,1738951301.0272691,231,s2qrd
mnt8s,3,anomaly,1738951301.2485013,1738951301.2488103,1738951301.3183224,1738951301.3234696,1738951301.3236573,231,xtw9n
mnt8s,4,anomaly,1738951301.5494556,1738951301.5496962,1738951301.6193101,1738951301.6245804,1738951301.624828,231,9zk5c
mnt8s,5,anomaly,1738951301.8501818,1738951301.8504345,1738951301.9209414,1738951301.926074,1738951301.926313,231,8wxnw
mnt8s,6,anomaly,1738951302.1509347,1738951302.1512263,1738951302.2160335,1738951302.2211394,1738951302.221337,231,kskrv
mnt8s,7,anomaly,1738951302.451765,1738951302.4520679,1738951302.5186458,1738951302.5235941,1738951302.523739,231,bgbv5
mnt8s,8,anomaly,1738951302.7525399,1738951302.7528143,1738951302.827731,1738951302.8326435,1738951302.8327937,231,s2qrd
mnt8s,9,anomaly,1738951303.0534105,1738951303.0537498,1738951303.5074394,1738951303.5123904,1738951303.5125313,231,xtw9n
mnt8s,10,anomaly,1738951303.4977746,1738951303.5077596,1738951303.577066,1738951303.5821297,1738951303.582291,231,9zk5c
mnt8s,11,anomaly,1738951303.7986526,1738951303.798982,1738951303.8721464,1738951303.8770285,1738951303.87719,231,8wxnw
mnt8s,12,anomaly,1738951304.099421,1738951304.0997615,1738951304.1721237,1738951304.1771662,1738951304.1773612,231,kskrv
mnt8s,13,anomaly,1738951304.400155,1738951304.400478,1738951304.4716516,1738951304.4767637,1738951304.4769042,231,bgbv5
mnt8s,14,anomaly,1738951304.7008412,1738951304.701275,1738951304.7764587,1738951304.7814548,1738951304.78159,231,s2qrd
mnt8s,15,anomaly,1738951305.0015914,1738951305.0019546,1738951305.069639,1738951305.0747147,1738951305.0748792,231,xtw9n
mnt8s,16,anomaly,1738951305.3026798,1738951305.3032389,1738951305.7068624,1738951305.7118993,1738951305.7120485,231,9zk5c
mnt8s,17,anomaly,1738951305.689182,1738951305.7071567,1738951305.781652,1738951305.7866952,1738951305.786844,231,8wxnw
mnt8s,18,anomaly,1738951305.9899676,1738951305.9902623,1738951306.0650353,1738951306.070099,1738951306.0702882,231,kskrv
mnt8s,19,anomaly,1738951306.2907014,1738951306.2909296,1738951306.369008,1738951306.3740242,1738951306.3741674,231,bgbv5
mnt8s,20,anomaly,1738951306.5915177,1738951306.5918918,1738951306.672989,1738951306.677955,1738951306.6780984,231,s2qrd
mnt8s,21,anomaly,1738951306.8922715,1738951306.8926494,1738951306.9612393,1738951306.9663398,1738951306.9665036,231,xtw9n
mnt8s,22,anomaly,1738951307.19325,1738951307.1936142,1738951307.2808902,1738951307.285901,1738951307.2860413,231,9zk5c
mnt8s,23,anomaly,1738951307.494102,1738951307.4944422,1738951307.5725033,1738951307.5774918,1738951307.5776536,231,8wxnw
mnt8s,24,anomaly,1738951307.7948537,1738951307.795133,1738951307.8710134,1738951307.8762035,1738951307.876453,231,kskrv
mnt8s,25,anomaly,1738951308.0957956,1738951308.096638,1738951308.1751325,1738951308.1801977,1738951308.180391,231,bgbv5
mnt8s,26,anomaly,1738951308.3966026,1738951308.397181,1738951308.482587,1738951308.4876192,1738951308.4877455,231,s2qrd
mnt8s,27,anomaly,1738951308.697325,1738951308.6977172,1738951308.7719572,1738951308.7770257,1738951308.7771957,231,xtw9n
mnt8s,28,anomaly,1738951308.9980884,1738951308.9983926,1738951309.0708835,1738951309.0759056,1738951309.0760732,231,9zk5c
mnt8s,29,anomaly,1738951309.298785,1738951309.299019,1738951309.3759196,1738951309.380918,1738951309.3810682,231,8wxnw
mnt8s,30,anomaly,1738951309.5995274,1738951309.5998642,1738951309.66569,1738951309.6706755,1738951309.6708422,231,kskrv
mnt8s,31,anomaly,1738951309.900301,1738951309.900649,1738951309.98189,1738951309.986913,1738951309.987092,231,bgbv5
mnt8s,32,anomaly,1738951310.2010236,1738951310.2012532,1738951310.2776377,1738951310.2825983,1738951310.2827344,231,s2qrd
mnt8s,33,anomaly,1738951310.5017843,1738951310.5020337,1738951310.5724092,1738951310.5774338,1738951310.5775764,231,xtw9n
mnt8s,34,anomaly,1738951310.8026109,1738951310.8029683,1738951310.8819845,1738951310.8870451,1738951310.8871937,231,9zk5c
mnt8s,35,anomaly,1738951311.1033797,1738951311.1036363,1738951311.1762612,1738951311.1813715,1738951311.1815171,231,8wxnw
mnt8s,36,anomaly,1738951311.4041495,1738951311.4044342,1738951311.4758074,1738951311.4808323,1738951311.4809668,231,kskrv
mnt8s,37,anomaly,1738951311.704941,1738951311.7056284,1738951311.7818851,1738951311.7869742,1738951311.7871578,231,bgbv5
mnt8s,38,anomaly,1738951312.0057788,1738951312.0061495,1738951312.0734017,1738951312.0783334,1738951312.0784748,231,s2qrd
mnt8s,39,anomaly,1738951312.306498,1738951312.3067524,1738951312.3764892,1738951312.3814287,1738951312.3815734,231,xtw9n
mnt8s,40,anomaly,1738951312.6072843,1738951312.6075954,1738951312.679509,1738951312.6845508,1738951312.6846898,231,9zk5c
mnt8s,41,anomaly,1738951312.908007,1738951312.90829,1738951312.9890609,1738951312.9940672,1738951312.99422,231,8wxnw
