id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size,id_server
4pjgt,1,logs,1739359301.5491621,1739359301.5499585,1739359301.550065,1739359301.5522404,1739359301.5526803,523,bkl8n
4pjgt,2,logs,1739359301.5841112,1739359301.584342,1739359301.5843685,1739359301.5859694,1739359301.586096,523,bkl8n
4pjgt,3,logs,1739359301.6188264,1739359301.6190453,1739359301.6190667,1739359301.6204884,1739359301.6205888,523,bkl8n
4pjgt,4,logs,1739359301.6531682,1739359301.6533623,1739359301.6533794,1739359301.6547894,1739359301.6548946,523,bkl8n
4pjgt,5,logs,1739359301.6878304,1739359301.6880312,1739359301.688048,1739359301.689559,1739359301.689687,523,bkl8n
4pjgt,6,logs,1739359301.7223544,1739359301.7225747,1739359301.7225893,1739359301.7240155,1739359301.724104,523,bkl8n
4pjgt,7,logs,1739359301.7582731,1739359301.758518,1739359301.7585344,1739359301.759999,1739359301.760077,523,bkl8n
4pjgt,8,logs,1739359301.793232,1739359301.7934241,1739359301.7934382,1739359301.7948792,1739359301.7949502,523,bkl8n
4pjgt,9,logs,1739359301.8277614,1739359301.8279512,1739359301.8279662,1739359301.829424,1739359301.8295124,523,bkl8n
4pjgt,10,logs,1739359301.8619838,1739359301.8621752,1739359301.8621926,1739359301.8636239,1739359301.8637254,523,bkl8n
4pjgt,11,logs,1739359301.8967042,1739359301.896894,1739359301.896911,1739359301.8983288,1739359301.8984592,523,bkl8n
4pjgt,12,logs,1739359301.9309092,1739359301.9310954,1739359301.9311106,1739359301.9325511,1739359301.932655,523,bkl8n
4pjgt,13,logs,1739359301.9652727,1739359301.9654496,1739359301.9654646,1739359301.9668932,1739359301.966976,523,bkl8n
4pjgt,14,logs,1739359301.9994206,1739359301.9996057,1739359301.999621,1739359302.0010567,1739359302.001152,1483,bkl8n
4pjgt,15,logs,1739359302.0335624,1739359302.0337422,1739359302.0337553,1739359302.03514,1739359302.0352194,1963,bkl8n
4pjgt,16,logs,1739359302.0677412,1739359302.0679545,1739359302.0679746,1739359302.0695124,1739359302.0696073,1963,bkl8n
4pjgt,17,logs,1739359302.1018739,1739359302.1020575,1739359302.1020718,1739359302.1037464,1739359302.103832,1963,bkl8n
4pjgt,18,logs,1739359302.1361318,1739359302.13632,1739359302.136334,1739359302.137857,1739359302.137925,1963,bkl8n
4pjgt,19,logs,1739359302.1706243,1739359302.170815,1739359302.1708276,1739359302.1723106,1739359302.1723769,1963,bkl8n
4pjgt,20,logs,1739359302.2055776,1739359302.205771,1739359302.2057822,1739359302.207225,1739359302.2072988,1963,bkl8n
4pjgt,21,logs,1739359302.240903,1739359302.2418995,1739359302.2419116,1739359302.2436004,1739359302.2436652,1963,bkl8n
4pjgt,22,logs,1739359302.2766979,1739359302.2769003,1739359302.2769144,1739359302.2784588,1739359302.2785242,1963,bkl8n
4pjgt,23,logs,1739359302.3111336,1739359302.311327,1739359302.3113396,1739359302.3128324,1739359302.312893,1963,bkl8n
4pjgt,24,logs,1739359302.345897,1739359302.34609,1739359302.3461037,1739359302.347604,1739359302.3476644,1963,bkl8n
