id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size,id_server
zxvxh,1,anomaly,1738943357.5983992,1738943357.598892,1738943357.7840743,1738943357.7922888,1738943357.7925057,239,kbldv
zxvxh,2,anomaly,1738943358.1997147,1738943358.2000675,1738943358.2809901,1738943358.2891068,1738943358.2892687,239,v8vlk
zxvxh,3,anomaly,1738943358.8007607,1738943358.80119,1738943358.8926907,1738943358.9010043,1738943358.901297,239,5n2tr
zxvxh,4,anomaly,1738943359.4018288,1738943359.402102,1738943359.4909115,1738943359.4990773,1738943359.4992828,239,xsxmt
zxvxh,5,anomaly,1738943360.0029154,1738943360.0032206,1738943360.0969899,1738943360.10527,1738943360.105455,239,pqq6l
zxvxh,6,anomaly,1738943360.6040092,1738943360.6043117,1738943360.6937435,1738943360.7019436,1738943360.7021382,239,5r2hb
zxvxh,7,anomaly,1738943361.2051086,1738943361.2054477,1738943361.2960665,1738943361.3042593,1738943361.3044353,239,kbldv
zxvxh,8,anomaly,1738943361.806161,1738943361.8064713,1738943361.894595,1738943361.9028995,1738943361.9030507,239,v8vlk
zxvxh,9,anomaly,1738943362.4072375,1738943362.407555,1738943362.493018,1738943362.5011828,1738943362.5013447,239,5n2tr
zxvxh,10,anomaly,1738943363.008375,1738943363.008696,1738943363.0986168,1738943363.106862,1738943363.1070595,239,xsxmt
zxvxh,11,anomaly,1738943363.6095252,1738943363.6098185,1738943363.7085555,1738943363.716733,1738943363.7169123,239,pqq6l
zxvxh,12,anomaly,1738943364.2105906,1738943364.2108734,1738943364.2896578,1738943364.2977571,1738943364.2979453,239,5r2hb
zxvxh,13,anomaly,1738943364.8117085,1738943364.8119643,1738943365.0375824,1738943365.045898,1738943365.0460942,239,kbldv
zxvxh,14,anomaly,1738943365.412858,1738943365.4131284,1738943365.5058632,1738943365.5140433,1738943365.5141892,239,v8vlk
zxvxh,15,anomaly,1738943366.0139613,1738943366.0142334,1738943366.102126,1738943366.1103785,1738943366.1105278,239,5n2tr
zxvxh,16,anomaly,1738943366.615084,1738943366.6153922,1738943367.3163118,1738943367.3248482,1738943367.3250182,239,xsxmt
zxvxh,17,anomaly,1738943367.2913747,1738943367.316839,1738943367.4173832,1738943367.425638,1738943367.4257808,239,pqq6l
zxvxh,18,anomaly,1738943367.8975275,1738943367.897784,1738943367.9827664,1738943367.9910178,1738943367.9911573,239,5r2hb
zxvxh,19,anomaly,1738943368.498555,1738943368.498828,1738943368.592329,1738943368.6006308,1738943368.6007688,239,kbldv
zxvxh,20,anomaly,1738943369.100266,1738943369.1007383,1738943369.1945715,1738943369.202734,1738943369.2028792,239,v8vlk
zxvxh,21,anomaly,1738943369.7014422,1738943369.7017777,1738943369.8108141,1738943369.8189008,1738943369.8190656,239,5n2tr
zxvxh,22,anomaly,1738943370.3025224,1738943370.3028202,1738943370.5847838,1738943370.5929499,1738943370.593147,239,xsxmt
zxvxh,23,anomaly,1738943370.9036074,1738943370.903965,1738943370.9881616,1738943370.996248,1738943370.996402,239,pqq6l
zxvxh,24,anomaly,1738943371.504731,1738943371.505021,1738943371.5978885,1738943371.6059947,1738943371.6061382,239,5r2hb
zxvxh,25,anomaly,1738943372.1053066,1738943372.1056564,1738943372.2004995,1738943372.2087026,1738943372.2088556,239,kbldv
zxvxh,26,anomaly,1738943372.7063422,1738943372.7067566,1738943372.8108313,1738943372.8188632,1738943372.8189907,239,v8vlk
zxvxh,27,anomaly,1738943373.3074932,1738943373.3078318,1738943373.4081488,1738943373.4162588,1738943373.4164724,239,5n2tr
zxvxh,28,anomaly,1738943373.9086819,1738943373.9090033,1738943374.0175087,1738943374.0256193,1738943374.025768,239,xsxmt
zxvxh,29,anomaly,1738943374.5098517,1738943374.5102618,1738943374.6033103,1738943374.6113253,1738943374.6114695,239,pqq6l
zxvxh,30,anomaly,1738943375.1108596,1738943375.1111305,1738943375.210194,1738943375.218292,1738943375.2184293,239,5r2hb
zxvxh,31,anomaly,1738943375.7119558,1738943375.7123208,1738943375.8083282,1738943375.8163552,1738943375.8164928,239,kbldv
zxvxh,32,anomaly,1738943376.3131714,1738943376.3135746,1738943376.4055145,1738943376.413601,1738943376.413736,239,v8vlk
zxvxh,33,anomaly,1738943376.914317,1738943376.9146504,1738943377.0169098,1738943377.0250187,1738943377.0251849,239,5n2tr
zxvxh,34,anomaly,1738943377.5154755,1738943377.5157394,1738943377.6176038,1738943377.6256895,1738943377.6258712,239,xsxmt
zxvxh,35,anomaly,1738943378.116618,1738943378.1169329,1738943378.222885,1738943378.2309444,1738943378.2310812,239,pqq6l
zxvxh,36,anomaly,1738943378.7178144,1738943378.7180996,1738943378.817947,1738943378.8260858,1738943378.8262262,239,5r2hb
zxvxh,37,anomaly,1738943379.3188953,1738943379.319213,1738943379.4182224,1738943379.426363,1738943379.426501,239,kbldv
zxvxh,38,anomaly,1738943379.9199765,1738943379.920271,1738943380.0197144,1738943380.0277593,1738943380.0278997,239,v8vlk
zxvxh,39,anomaly,1738943380.5211797,1738943380.5215583,1738943380.6228514,1738943380.6309695,1738943380.631112,239,5n2tr
zxvxh,40,anomaly,1738943381.1244009,1738943381.1247258,1738943381.2057335,1738943381.2140107,1738943381.214152,239,xsxmt
zxvxh,41,anomaly,1738943381.725671,1738943381.7259588,1738943382.3704813,1738943382.378633,1738943382.3787787,239,pqq6l
zxvxh,42,anomaly,1738943382.3396652,1738943382.3708034,1738943382.446621,1738943382.454732,1738943382.4548755,239,5r2hb
zxvxh,43,anomaly,1738943382.9407485,1738943382.9410272,1738943383.0337656,1738943383.0418925,1738943383.042035,239,kbldv
zxvxh,44,anomaly,1738943383.5419316,1738943383.5422504,1738943383.6434724,1738943383.6515465,1738943383.6516752,239,v8vlk
zxvxh,45,anomaly,1738943384.1430645,1738943384.1433449,1738943384.24117,1738943384.2492297,1738943384.2493932,239,5n2tr
zxvxh,46,anomaly,1738943384.7441132,1738943384.7445364,1738943384.8441021,1738943384.8521824,1738943384.8523269,239,xsxmt
zxvxh,47,anomaly,1738943385.3452659,1738943385.3457468,1738943385.447104,1738943385.4551303,1738943385.4552708,239,pqq6l
zxvxh,48,anomaly,1738943385.946327,1738943385.9466107,1738943386.0405533,1738943386.0485897,1738943386.0487306,239,5r2hb
zxvxh,49,anomaly,1738943386.5503962,1738943386.5507715,1738943386.6569288,1738943386.665048,1738943386.6652176,239,kbldv
zxvxh,50,anomaly,1738943387.1524749,1738943387.1528068,1738943387.2481256,1738943387.256218,1738943387.2563643,239,v8vlk
zxvxh,51,anomaly,1738943387.7537088,1738943387.7540329,1738943387.8511124,1738943387.8592653,1738943387.859411,239,5n2tr
zxvxh,52,anomaly,1738943388.3547719,1738943388.3549879,1738943388.464461,1738943388.472546,1738943388.4726884,239,xsxmt
zxvxh,53,anomaly,1738943388.9559152,1738943388.9562216,1738943389.0681098,1738943389.076278,1738943389.0764182,239,pqq6l
zxvxh,54,anomaly,1738943389.5572045,1738943389.5577004,1738943389.6804276,1738943389.6884754,1738943389.688617,239,5r2hb
zxvxh,55,anomaly,1738943390.1582906,1738943390.1585555,1738943390.2623634,1738943390.270434,1738943390.2705743,239,kbldv
zxvxh,56,anomaly,1738943390.7593646,1738943390.7596588,1738943390.8535273,1738943390.861639,1738943390.8617837,239,v8vlk
zxvxh,57,anomaly,1738943391.3604937,1738943391.3607862,1738943391.4574604,1738943391.4655015,1738943391.4656415,239,5n2tr
zxvxh,58,anomaly,1738943391.9643028,1738943391.9646227,1738943392.0519137,1738943392.0599723,1738943392.0601094,239,xsxmt
zxvxh,59,anomaly,1738943392.5655053,1738943392.5658536,1738943392.6628458,1738943392.670889,1738943392.6710315,239,pqq6l
zxvxh,60,anomaly,1738943393.1666474,1738943393.166979,1738943393.2570767,1738943393.2653475,1738943393.2654898,239,5r2hb
zxvxh,61,anomaly,1738943393.7677298,1738943393.768023,1738943393.8714159,1738943393.8794997,1738943393.8796463,239,kbldv
zxvxh,62,anomaly,1738943394.368909,1738943394.3695202,1738943394.45054,1738943394.4586308,1738943394.4588072,239,v8vlk
zxvxh,63,anomaly,1738943394.9700625,1738943394.9703484,1738943395.0694745,1738943395.07756,1738943395.0777097,239,5n2tr
zxvxh,64,anomaly,1738943395.5711105,1738943395.5713632,1738943395.6682582,1738943395.6763573,1738943395.676497,239,xsxmt
