id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size,id_server
2t9t2,1,anomaly,1738942698.8944497,1738942698.8949387,1738942699.0678914,1738942699.476095,1738942699.4764009,239,l49ng
2t9t2,2,anomaly,1738942699.4955523,1738942699.4958389,1738942699.5779061,1738942699.9860966,1738942699.986332,239,t4hq4
2t9t2,3,anomaly,1738942700.0967722,1738942700.097151,1738942700.1914463,1738942700.5996974,1738942700.6000082,239,7srg8
2t9t2,4,anomaly,1738942700.6980853,1738942700.698537,1738942700.78389,1738942701.1922438,1738942701.1925273,239,wxscv
2t9t2,5,anomaly,1738942701.2993188,1738942701.2996497,1738942701.3862252,1738942701.7944043,1738942701.7946315,239,zzxtv
2t9t2,6,anomaly,1738942701.9003656,1738942701.900613,1738942701.990725,1738942702.3989189,1738942702.3991852,239,lscpb
2t9t2,7,anomaly,1738942702.5019968,1738942702.502482,1738942702.602948,1738942703.011119,1738942703.011285,239,l49ng
2t9t2,8,anomaly,1738942703.1032188,1738942703.1035771,1738942703.1920311,1738942703.6001444,1738942703.6003091,239,t4hq4
2t9t2,9,anomaly,1738942703.7043405,1738942703.704651,1738942703.7890825,1738942704.197324,1738942704.1975303,239,7srg8
2t9t2,10,anomaly,1738942704.3054957,1738942704.3058648,1738942704.392874,1738942704.8010466,1738942704.801197,239,wxscv
2t9t2,11,anomaly,1738942704.906614,1738942704.906909,1738942705.0006819,1738942705.408744,1738942705.408886,239,zzxtv
2t9t2,12,anomaly,1738942705.5077927,1738942705.5081458,1738942705.6022747,1738942706.0103276,1738942706.0105085,239,lscpb
2t9t2,13,anomaly,1738942706.108944,1738942706.109362,1738942706.2068422,1738942706.6149397,1738942706.6151175,239,l49ng
2t9t2,14,anomaly,1738942706.710092,1738942706.7105057,1738942706.8077545,1738942707.215919,1738942707.2160854,239,t4hq4
2t9t2,15,anomaly,1738942707.3112452,1738942707.311569,1738942707.4170873,1738942707.825241,1738942707.8254251,239,7srg8
2t9t2,16,anomaly,1738942707.9124846,1738942707.9127932,1738942707.9923496,1738942708.4005702,1738942708.400742,239,wxscv
2t9t2,17,anomaly,1738942708.5138297,1738942708.514244,1738942708.5937781,1738942709.0019758,1738942709.0021584,239,zzxtv
2t9t2,18,anomaly,1738942709.118011,1738942709.1183589,1738942709.1939101,1738942709.6020348,1738942709.602203,239,lscpb
2t9t2,19,anomaly,1738942709.7191248,1738942709.7194455,1738942709.8066623,1738942710.214805,1738942710.2149732,239,l49ng
2t9t2,20,anomaly,1738942710.3202975,1738942710.3206475,1738942710.4111285,1738942710.8193202,1738942710.8195248,239,t4hq4
2t9t2,21,anomaly,1738942710.9213805,1738942710.9217374,1738942711.0111487,1738942711.4193301,1738942711.4195197,239,7srg8
2t9t2,22,anomaly,1738942711.5225484,1738942711.5228765,1738942711.6215293,1738942712.0297287,1738942712.0299466,239,wxscv
2t9t2,23,anomaly,1738942712.1237397,1738942712.1241307,1738942712.2162433,1738942712.624416,1738942712.6246097,239,zzxtv
2t9t2,24,anomaly,1738942712.724886,1738942712.7252078,1738942713.1013987,1738942713.5097995,1738942713.5100532,239,lscpb
2t9t2,25,anomaly,1738942713.3263292,1738942713.3267174,1738942713.418903,1738942713.8271194,1738942713.8273482,239,l49ng
2t9t2,26,anomaly,1738942713.9274487,1738942713.927736,1738942714.0076602,1738942714.415763,1738942714.4159334,239,t4hq4
2t9t2,27,anomaly,1738942714.5316527,1738942714.5320034,1738942714.6156623,1738942715.0237794,1738942715.0239706,239,7srg8
2t9t2,28,anomaly,1738942715.1326756,1738942715.13292,1738942715.2273924,1738942715.6355739,1738942715.635744,239,wxscv
2t9t2,29,anomaly,1738942715.7337513,1738942715.7340503,1738942715.8157818,1738942716.223994,1738942716.2242856,239,zzxtv
2t9t2,30,anomaly,1738942716.3624954,1738942716.3627696,1738942716.4465125,1738942716.8547473,1738942716.854898,239,lscpb
2t9t2,31,anomaly,1738942716.9636729,1738942716.9640062,1738942717.059179,1738942717.4673183,1738942717.4675817,239,l49ng
2t9t2,32,anomaly,1738942717.564859,1738942717.5652778,1738942717.657334,1738942718.0655584,1738942718.0657575,239,t4hq4
2t9t2,33,anomaly,1738942718.166002,1738942718.1662903,1738942718.2613146,1738942718.6694157,1738942718.6695695,239,7srg8
2t9t2,34,anomaly,1738942718.7671525,1738942718.7674367,1738942718.8698766,1738942719.2779474,1738942719.2780938,239,wxscv
2t9t2,35,anomaly,1738942719.3682685,1738942719.368557,1738942719.4547877,1738942719.862901,1738942719.863103,239,zzxtv
2t9t2,36,anomaly,1738942719.9724412,1738942719.972799,1738942720.0652192,1738942720.4732838,1738942720.473451,239,lscpb
2t9t2,37,anomaly,1738942720.573537,1738942720.5738015,1738942720.6548615,1738942721.0629911,1738942721.0631828,239,l49ng
2t9t2,38,anomaly,1738942721.1745265,1738942721.1747305,1738942721.2588432,1738942721.6669486,1738942721.6671486,239,t4hq4
2t9t2,39,anomaly,1738942721.7756395,1738942721.7759204,1738942721.8594785,1738942722.2675529,1738942722.2677402,239,7srg8
2t9t2,40,anomaly,1738942722.3769119,1738942722.3772445,1738942722.4664085,1738942722.8745766,1738942722.8747587,239,wxscv
2t9t2,41,anomaly,1738942722.9780188,1738942722.978336,1738942723.0666478,1738942723.4748244,1738942723.4750013,239,zzxtv
2t9t2,42,anomaly,1738942723.5791688,1738942723.5794895,1738942723.675703,1738942724.0838866,1738942724.084108,239,lscpb
2t9t2,43,anomaly,1738942724.180316,1738942724.1807754,1738942724.2757876,1738942724.6839166,1738942724.684088,239,l49ng
2t9t2,44,anomaly,1738942724.7814646,1738942724.7817867,1738942724.866723,1738942725.2749853,1738942725.2752786,239,t4hq4
2t9t2,45,anomaly,1738942725.3858933,1738942725.3862753,1738942725.474758,1738942725.8830466,1738942725.8832724,239,7srg8
2t9t2,46,anomaly,1738942725.9869857,1738942725.9872775,1738942726.0772657,1738942726.4859262,1738942726.4862983,239,wxscv
2t9t2,47,anomaly,1738942726.5881226,1738942726.5884495,1738942726.682892,1738942727.0911734,1738942727.0913517,239,zzxtv
2t9t2,48,anomaly,1738942727.1892493,1738942727.1895332,1738942727.2859735,1738942727.6941588,1738942727.6943526,239,lscpb
2t9t2,49,anomaly,1738942727.7903786,1738942727.7907014,1738942727.8779855,1738942728.2862732,1738942728.2864697,239,l49ng
2t9t2,50,anomaly,1738942728.3915758,1738942728.3919172,1738942728.4900413,1738942728.8982651,1738942728.8984616,239,t4hq4
2t9t2,51,anomaly,1738942728.9927688,1738942728.9935,1738942729.09357,1738942729.5018122,1738942729.5020409,239,7srg8
2t9t2,52,anomaly,1738942729.5939708,1738942729.5942922,1738942729.6846228,1738942730.092708,1738942730.092858,239,wxscv
2t9t2,53,anomaly,1738942730.1951542,1738942730.195585,1738942730.294371,1738942730.7025928,1738942730.702847,239,zzxtv
2t9t2,54,anomaly,1738942730.7964048,1738942730.7967472,1738942730.8868828,1738942731.2950597,1738942731.295256,239,lscpb
2t9t2,55,anomaly,1738942731.3976793,1738942731.3979998,1738942731.4972062,1738942731.9053004,1738942731.9054842,239,l49ng
