id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size,id_server
p9v2g,1,anomaly,1739285067.0191255,1739285067.0196576,1739285067.1690657,1739285067.56886,1739285067.5692568,231,qc692
p9v2g,2,anomaly,1739285067.3209767,1739285067.3214786,1739285067.3943555,1739285067.7941432,1739285067.794356,231,xnnhz
p9v2g,3,anomaly,1739285067.622698,1739285067.6231995,1739285067.7031636,1739285068.1028223,1739285068.1031013,231,bsgcf
p9v2g,4,anomaly,1739285067.9246984,1739285067.925434,1739285067.9914718,1739285068.3912086,1739285068.3914444,231,w6g97
p9v2g,5,anomaly,1739285068.2263916,1739285068.226745,1739285068.3000786,1739285068.6998594,1739285068.7001874,231,bnnl6
p9v2g,6,anomaly,1739285068.528199,1739285068.528662,1739285068.601323,1739285069.0009792,1739285069.001265,231,c6wzd
p9v2g,7,anomaly,1739285068.8298326,1739285068.8302233,1739285068.9005992,1739285069.3002453,1739285069.3005095,231,qc692
p9v2g,8,anomaly,1739285069.1314619,1739285069.131806,1739285069.1992884,1739285069.5988753,1739285069.5990515,231,xnnhz
p9v2g,9,anomaly,1739285069.4331212,1739285069.4334257,1739285069.497324,1739285069.8969784,1739285069.8971887,231,bsgcf
p9v2g,10,anomaly,1739285069.7347834,1739285069.735098,1739285069.8078656,1739285070.2075691,1739285070.2077777,231,w6g97
p9v2g,11,anomaly,1739285070.037095,1739285070.0375137,1739285070.1096046,1739285070.5092926,1739285070.509547,231,bnnl6
p9v2g,12,anomaly,1739285070.3392448,1739285070.3397152,1739285070.407816,1739285070.8076,1739285070.8077698,231,c6wzd
p9v2g,13,anomaly,1739285070.6410947,1739285070.641581,1739285070.718421,1739285071.118097,1739285071.1182756,231,qc692
p9v2g,14,anomaly,1739285070.9431732,1739285070.9435558,1739285071.019392,1739285071.419083,1739285071.4192948,231,xnnhz
p9v2g,15,anomaly,1739285071.2452464,1739285071.245588,1739285071.320384,1739285071.720099,1739285071.720296,231,bsgcf
p9v2g,16,anomaly,1739285071.5471795,1739285071.5476515,1739285071.6166875,1739285072.016384,1739285072.016576,231,w6g97
p9v2g,17,anomaly,1739285071.8488379,1739285071.8491158,1739285071.9195378,1739285072.3192735,1739285072.3194945,231,bnnl6
p9v2g,18,anomaly,1739285072.1507404,1739285072.1511602,1739285072.224546,1739285072.6241887,1739285072.6243963,231,c6wzd
p9v2g,19,anomaly,1739285072.452435,1739285072.4528642,1739285072.5201652,1739285072.9198217,1739285072.920063,231,qc692
p9v2g,20,anomaly,1739285072.754145,1739285072.7545948,1739285072.8245597,1739285073.224184,1739285073.2243788,231,xnnhz
p9v2g,21,anomaly,1739285073.0566115,1739285073.0570421,1739285073.125804,1739285073.525488,1739285073.5256653,231,bsgcf
p9v2g,22,anomaly,1739285073.3599346,1739285073.3603442,1739285073.4365115,1739285073.8362837,1739285073.8365276,231,w6g97
p9v2g,23,anomaly,1739285073.662325,1739285073.6626716,1739285073.7289336,1739285074.128691,1739285074.1288705,231,bnnl6
p9v2g,24,anomaly,1739285073.965312,1739285073.965776,1739285074.0363796,1739285074.4360502,1739285074.4362597,231,c6wzd
p9v2g,25,anomaly,1739285074.2673972,1739285074.267738,1739285074.3447657,1739285074.7444346,1739285074.7446256,231,qc692
p9v2g,26,anomaly,1739285074.569691,1739285074.5700133,1739285074.6456769,1739285075.0452762,1739285075.0454214,231,xnnhz
p9v2g,27,anomaly,1739285074.8734994,1739285074.8738213,1739285074.9435213,1739285075.343107,1739285075.3432732,231,bsgcf
p9v2g,28,anomaly,1739285075.1766438,1739285075.1770813,1739285075.2442582,1739285075.6438222,1739285075.6439939,231,w6g97
p9v2g,29,anomaly,1739285075.479336,1739285075.479704,1739285075.6169262,1739285076.0166566,1739285076.0168645,231,bnnl6
p9v2g,30,anomaly,1739285075.782555,1739285075.782877,1739285075.8504262,1739285076.2500446,1739285076.250208,231,c6wzd
p9v2g,31,anomaly,1739285076.0852244,1739285076.0856864,1739285076.1553485,1739285076.555169,1739285076.555399,231,qc692
p9v2g,32,anomaly,1739285076.388601,1739285076.3891761,1739285076.450019,1739285076.8499067,1739285076.8500805,231,xnnhz
p9v2g,33,anomaly,1739285076.6908627,1739285076.69141,1739285076.7608433,1739285077.1606545,1739285077.160848,231,bsgcf
p9v2g,34,anomaly,1739285076.9929867,1739285076.9932973,1739285077.0541246,1739285077.453943,1739285077.4541256,231,w6g97
p9v2g,35,anomaly,1739285077.2949297,1739285077.2952006,1739285077.3550627,1739285077.7548995,1739285077.7551045,231,bnnl6
p9v2g,36,anomaly,1739285077.596899,1739285077.5972683,1739285077.6595235,1739285078.0592296,1739285078.059403,231,c6wzd
p9v2g,37,anomaly,1739285077.8992436,1739285077.8996034,1739285077.9606323,1739285078.3602867,1739285078.3604865,231,qc692
p9v2g,38,anomaly,1739285078.2015448,1739285078.2019753,1739285078.28867,1739285078.6887383,1739285078.6889195,231,xnnhz
p9v2g,39,anomaly,1739285078.503553,1739285078.5039928,1739285078.5640006,1739285078.963941,1739285078.9641714,231,bsgcf
p9v2g,40,anomaly,1739285078.805262,1739285078.805617,1739285078.8742244,1739285079.273948,1739285079.2741258,231,w6g97
p9v2g,41,anomaly,1739285079.1073818,1739285079.1077046,1739285079.1711698,1739285079.5709271,1739285079.5711262,231,bnnl6
p9v2g,42,anomaly,1739285079.4094257,1739285079.4097488,1739285079.4762034,1739285079.8759363,1739285079.8761172,231,c6wzd
p9v2g,43,anomaly,1739285079.7111888,1739285079.711452,1739285079.779877,1739285080.1796772,1739285080.179859,231,qc692
p9v2g,44,anomaly,1739285080.0131602,1739285080.0134723,1739285080.0848467,1739285080.4846203,1739285080.4849598,231,xnnhz
p9v2g,45,anomaly,1739285080.3150353,1739285080.3155015,1739285080.3819463,1739285080.7816718,1739285080.781895,231,bsgcf
p9v2g,46,anomaly,1739285080.617183,1739285080.6176527,1739285080.691287,1739285081.0909,1739285081.091072,231,w6g97
p9v2g,47,anomaly,1739285080.9189334,1739285080.9192853,1739285080.9813545,1739285081.3810208,1739285081.3812275,231,bnnl6
p9v2g,48,anomaly,1739285081.2218113,1739285081.2221386,1739285081.289096,1739285081.6888416,1739285081.6890223,231,c6wzd
p9v2g,49,anomaly,1739285081.5243707,1739285081.524793,1739285081.590122,1739285081.9897852,1739285081.9900208,231,qc692
p9v2g,50,anomaly,1739285081.8270762,1739285081.827493,1739285082.4634826,1739285082.8631408,1739285082.863321,231,xnnhz
p9v2g,51,anomaly,1739285082.6477003,1739285082.6485462,1739285082.7175102,1739285083.1171684,1739285083.1173573,231,bsgcf
p9v2g,52,anomaly,1739285082.9495616,1739285082.9499085,1739285083.0116117,1739285083.4112868,1739285083.4114637,231,w6g97
p9v2g,53,anomaly,1739285083.2515023,1739285083.2517633,1739285083.3122728,1739285083.7119637,1739285083.7121925,231,bnnl6
p9v2g,54,anomaly,1739285083.5534282,1739285083.5537577,1739285083.6207492,1739285084.020343,1739285084.020541,231,c6wzd
p9v2g,55,anomaly,1739285083.8553355,1739285083.8556108,1739285083.913928,1739285084.3136,1739285084.3137755,231,qc692
p9v2g,56,anomaly,1739285084.157245,1739285084.1576016,1739285084.2161846,1739285084.6158807,1739285084.616073,231,xnnhz
p9v2g,57,anomaly,1739285084.458932,1739285084.4592147,1739285084.5224552,1739285084.9221053,1739285084.92229,231,bsgcf
p9v2g,58,anomaly,1739285084.760707,1739285084.7612307,1739285084.829611,1739285085.2292159,1739285085.229378,231,w6g97
p9v2g,59,anomaly,1739285085.0625486,1739285085.0628414,1739285085.294875,1739285085.6945066,1739285085.6946945,231,bnnl6
p9v2g,60,anomaly,1739285085.471291,1739285085.4716442,1739285085.5342953,1739285085.9339774,1739285085.9341521,231,c6wzd
p9v2g,61,anomaly,1739285085.7733648,1739285085.773715,1739285085.8369935,1739285086.2366786,1739285086.2368686,231,qc692
p9v2g,62,anomaly,1739285086.0752673,1739285086.0757058,1739285086.137053,1739285086.5367367,1739285086.5369236,231,xnnhz
p9v2g,63,anomaly,1739285086.3772044,1739285086.377495,1739285086.4357576,1739285086.835454,1739285086.8356357,231,bsgcf
p9v2g,64,anomaly,1739285086.679035,1739285086.6793606,1739285086.7460372,1739285087.1456213,1739285087.1457932,231,w6g97
p9v2g,65,anomaly,1739285086.9809232,1739285086.981664,1739285087.0498056,1739285087.4494019,1739285087.4495628,231,bnnl6
p9v2g,66,anomaly,1739285087.2829123,1739285087.2831707,1739285087.3414278,1739285087.7410724,1739285087.741237,231,c6wzd
p9v2g,67,anomaly,1739285087.5846636,1739285087.5851398,1739285087.6474082,1739285088.0470371,1739285088.0472226,231,qc692
p9v2g,68,anomaly,1739285087.8863873,1739285087.886911,1739285087.9567256,1739285088.3563433,1739285088.3564975,231,xnnhz
p9v2g,69,anomaly,1739285088.1881766,1739285088.1885056,1739285088.248783,1739285088.6484938,1739285088.6486769,231,bsgcf
p9v2g,70,anomaly,1739285088.4900515,1739285088.4905024,1739285088.554072,1739285088.953695,1739285088.953877,231,w6g97
p9v2g,71,anomaly,1739285088.7918174,1739285088.792186,1739285088.8511174,1739285089.2507432,1739285089.250944,231,bnnl6
p9v2g,72,anomaly,1739285089.0934834,1739285089.0938878,1739285089.1541574,1739285089.5537271,1739285089.5539143,231,c6wzd
p9v2g,73,anomaly,1739285089.3952324,1739285089.395705,1739285089.4567573,1739285089.8564472,1739285089.856631,231,qc692
p9v2g,74,anomaly,1739285089.6969693,1739285089.697409,1739285089.7587566,1739285090.1586685,1739285090.1588452,231,xnnhz
p9v2g,75,anomaly,1739285089.9987662,1739285089.9991298,1739285090.0629182,1739285090.4626427,1739285090.4628587,231,bsgcf
p9v2g,76,anomaly,1739285090.3008125,1739285090.3013067,1739285090.81483,1739285091.2145538,1739285091.2147477,231,w6g97
p9v2g,77,anomaly,1739285090.9885995,1739285090.9890149,1739285091.0578458,1739285091.4574509,1739285091.4576228,231,bnnl6
p9v2g,78,anomaly,1739285091.2910378,1739285091.2913616,1739285091.3568854,1739285091.7564895,1739285091.7566447,231,c6wzd
p9v2g,79,anomaly,1739285091.5928764,1739285091.5935125,1739285091.6554222,1739285092.055041,1739285092.0551946,231,qc692
p9v2g,80,anomaly,1739285091.8945768,1739285091.8949301,1739285091.9567006,1739285092.356559,1739285092.3567252,231,xnnhz
p9v2g,81,anomaly,1739285092.1968539,1739285092.197235,1739285092.266897,1739285092.6666937,1739285092.66692,231,bsgcf
p9v2g,82,anomaly,1739285092.4990342,1739285092.4994144,1739285092.56481,1739285092.9644523,1739285092.9646063,231,w6g97
p9v2g,83,anomaly,1739285092.8044696,1739285092.804768,1739285092.868791,1739285093.268404,1739285093.2686107,231,bnnl6
p9v2g,84,anomaly,1739285093.1062913,1739285093.1066456,1739285093.1712952,1739285093.5709112,1739285093.571091,231,c6wzd
p9v2g,85,anomaly,1739285093.4081707,1739285093.4085214,1739285093.476016,1739285093.8755455,1739285093.8756945,231,qc692
p9v2g,86,anomaly,1739285093.7098596,1739285093.7101362,1739285093.773814,1739285094.1735935,1739285094.173814,231,xnnhz
p9v2g,87,anomaly,1739285094.0115182,1739285094.011862,1739285094.0755804,1739285094.4753923,1739285094.4756405,231,bsgcf
p9v2g,88,anomaly,1739285094.3132195,1739285094.313718,1739285094.3794916,1739285094.7790856,1739285094.7792573,231,w6g97
p9v2g,89,anomaly,1739285094.6149166,1739285094.615339,1739285094.688886,1739285095.088474,1739285095.0886543,231,bnnl6
p9v2g,90,anomaly,1739285094.9173417,1739285094.9178689,1739285094.9872189,1739285095.3869073,1739285095.3870733,231,c6wzd
p9v2g,91,anomaly,1739285095.2190382,1739285095.2193105,1739285095.2885294,1739285095.688407,1739285095.6886501,231,qc692
p9v2g,92,anomaly,1739285095.5208886,1739285095.5212445,1739285095.582305,1739285095.982193,1739285095.982399,231,xnnhz
p9v2g,93,anomaly,1739285095.823253,1739285095.823884,1739285095.8957412,1739285096.2955182,1739285096.2957437,231,bsgcf
p9v2g,94,anomaly,1739285096.1254163,1739285096.1257157,1739285096.1885753,1739285096.5883331,1739285096.5885265,231,w6g97
p9v2g,95,anomaly,1739285096.4270616,1739285096.4273403,1739285096.4913104,1739285096.89092,1739285096.8911493,231,bnnl6
p9v2g,96,anomaly,1739285096.7291675,1739285096.729544,1739285096.7933908,1739285097.193013,1739285097.1931875,231,c6wzd
p9v2g,97,anomaly,1739285097.0309148,1739285097.0314188,1739285097.1045868,1739285097.5042436,1739285097.5045118,231,qc692
p9v2g,98,anomaly,1739285097.3327694,1739285097.3333468,1739285097.4001036,1739285097.7997735,1739285097.7999578,231,xnnhz
p9v2g,99,anomaly,1739285097.6352432,1739285097.6356616,1739285097.7030902,1739285098.1028721,1739285098.1030502,231,bsgcf
p9v2g,100,anomaly,1739285097.9372823,1739285097.9376302,1739285097.99917,1739285098.3989277,1739285098.3991241,231,w6g97
p9v2g,101,anomaly,1739285098.2388613,1739285098.2391293,1739285098.3026934,1739285098.702529,1739285098.7027364,231,bnnl6
p9v2g,102,anomaly,1739285098.540572,1739285098.5409992,1739285098.601622,1739285099.0014482,1739285099.001797,231,c6wzd
p9v2g,103,anomaly,1739285098.8425474,1739285098.8429532,1739285098.9108257,1739285099.3104153,1739285099.3105981,231,qc692
p9v2g,104,anomaly,1739285099.1445394,1739285099.1450145,1739285099.2095234,1739285099.6091733,1739285099.609402,231,xnnhz
p9v2g,105,anomaly,1739285099.446285,1739285099.4467022,1739285099.513173,1739285099.9127553,1739285099.912916,231,bsgcf
