id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size,id_server
gcb7g,1,anomaly,1739296597.943563,1739296597.9439178,1739296598.0613155,1739296598.0609884,1739296598.061478,223,5ggtm
gcb7g,2,anomaly,1739296597.9738553,1739296598.061854,1739296598.1065078,1739296598.1059172,1739296598.106387,223,h8xmx
gcb7g,3,anomaly,1739296598.004152,1739296598.1068218,1739296598.1508677,1739296598.1502945,1739296598.1507566,223,xs68n
gcb7g,4,anomaly,1739296598.0344992,1739296598.1513042,1739296598.2091928,1739296598.2084584,1739296598.2088869,223,2mp57
gcb7g,5,anomaly,1739296598.0648355,1739296598.209506,1739296598.2559528,1739296598.2554533,1739296598.2560441,223,x4bpm
gcb7g,6,anomaly,1739296598.095085,1739296598.2564023,1739296598.3000455,1739296598.299358,1739296598.2997959,223,cvhnj
gcb7g,7,anomaly,1739296598.1253304,1739296598.3003998,1739296598.3491323,1739296598.3482761,1739296598.3484743,223,5ggtm
gcb7g,8,anomaly,1739296598.155659,1739296598.3494754,1739296598.3945925,1739296598.393747,1739296598.393977,223,h8xmx
gcb7g,9,anomaly,1739296598.1859348,1739296598.3949397,1739296598.4360535,1739296598.435151,1739296598.4353433,223,xs68n
gcb7g,10,anomaly,1739296598.2162318,1739296598.4363866,1739296598.4828231,1739296598.4818876,1739296598.4820528,223,2mp57
gcb7g,11,anomaly,1739296598.2464654,1739296598.4832242,1739296598.5257916,1739296598.5248246,1739296598.5250256,223,x4bpm
gcb7g,12,anomaly,1739296598.2767339,1739296598.5261397,1739296598.57099,1739296598.5700543,1739296598.5702252,223,cvhnj
gcb7g,13,anomaly,1739296598.3070927,1739296598.5714464,1739296598.6211603,1739296598.6202147,1739296598.6204276,223,5ggtm
gcb7g,14,anomaly,1739296598.3374763,1739296598.6215549,1739296598.6651075,1739296598.6641848,1739296598.6643553,223,h8xmx
gcb7g,15,anomaly,1739296598.3678393,1739296598.665462,1739296598.7088902,1739296598.7079458,1739296598.708115,223,xs68n
gcb7g,16,anomaly,1739296598.3981442,1739296598.7092502,1739296598.7546852,1739296598.7537382,1739296598.7539215,223,2mp57
gcb7g,17,anomaly,1739296598.4288473,1739296598.754991,1739296598.7949967,1739296598.7939913,1739296598.7941508,223,x4bpm
gcb7g,18,anomaly,1739296598.4591882,1739296598.7953155,1739296598.8395226,1739296598.8385277,1739296598.838692,223,cvhnj
gcb7g,19,anomaly,1739296598.4894993,1739296598.839903,1739296598.8899221,1739296598.889031,1739296598.889225,223,5ggtm
gcb7g,20,anomaly,1739296598.5198708,1739296598.890249,1739296598.9342892,1739296598.9333851,1739296598.9335666,223,h8xmx
gcb7g,21,anomaly,1739296598.550115,1739296598.9346275,1739296598.9747798,1739296598.9737985,1739296598.9739869,223,xs68n
gcb7g,22,anomaly,1739296598.5804455,1739296598.975144,1739296599.018627,1739296599.0176814,1739296599.017906,223,2mp57
gcb7g,23,anomaly,1739296598.6134279,1739296599.0189488,1739296599.060372,1739296599.0593853,1739296599.0595787,223,x4bpm
gcb7g,24,anomaly,1739296598.6436586,1739296599.0607555,1739296599.1003375,1739296599.0993502,1739296599.099526,223,cvhnj
gcb7g,25,anomaly,1739296598.6740582,1739296599.1006575,1739296599.1536622,1739296599.152714,1739296599.152868,223,5ggtm
gcb7g,26,anomaly,1739296598.7052734,1739296599.1540992,1739296599.195594,1739296599.1947613,1739296599.1949494,223,h8xmx
gcb7g,27,anomaly,1739296598.7356944,1739296599.1960642,1739296599.2399175,1739296599.238971,1739296599.239122,223,xs68n
gcb7g,28,anomaly,1739296598.7661757,1739296599.2403405,1739296599.290005,1739296599.289175,1739296599.2893693,223,2mp57
gcb7g,29,anomaly,1739296598.7965274,1739296599.2904115,1739296599.3333225,1739296599.3323612,1739296599.3325212,223,x4bpm
gcb7g,30,anomaly,1739296598.8268142,1739296599.3337455,1739296599.3746283,1739296599.3736606,1739296599.3738642,223,cvhnj
gcb7g,31,anomaly,1739296598.8573246,1739296599.3749945,1739296599.4174793,1739296599.4165604,1739296599.4167254,223,5ggtm
gcb7g,32,anomaly,1739296598.8877516,1739296599.4178555,1739296599.4608867,1739296599.460054,1739296599.460236,223,h8xmx
gcb7g,33,anomaly,1739296598.918017,1739296599.461427,1739296599.5043683,1739296599.5034869,1739296599.5036948,223,xs68n
gcb7g,34,anomaly,1739296598.9483128,1739296599.504763,1739296599.5503213,1739296599.5493696,1739296599.5495546,223,2mp57
gcb7g,35,anomaly,1739296598.978645,1739296599.5507052,1739296599.5925412,1739296599.5915775,1739296599.591761,223,x4bpm
gcb7g,36,anomaly,1739296599.0088809,1739296599.592941,1739296599.635252,1739296599.6343062,1739296599.634426,223,cvhnj
