id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size,id_server
x2chq,1,logs,1710345699.5013742,1710345699.5020614,1710345699.5021732,1710345699.5052567,1710345699.5057793,38111,2zs44
tsdx4,1,logs,1710345699.5066543,1710345699.5074189,1710345699.5075219,1710345699.511145,1710345699.5113437,38111,2zs44
2cgnl,1,logs,1710345699.5290687,1710345699.5296924,1710345699.5298045,1710345699.5329008,1710345699.5330482,38111,2zs44
pmsjq,1,logs,1710345699.535169,1710345699.5357132,1710345699.5358355,1710345699.5385823,1710345699.5386968,38111,2zs44
dpjr5,1,logs,1710345699.5413225,1710345699.5435708,1710345699.5440378,1710345699.5471468,1710345699.5472426,38111,2zs44
m72xg,1,logs,1710345699.554004,1710345699.5548644,1710345699.5549645,1710345699.5577502,1710345699.5579462,38111,2zs44
nj57g,1,logs,1710345699.5549083,1710345699.5574694,1710345699.5576277,1710345699.563814,1710345699.5639553,38111,2zs44
x2chq,2,logs,1710345699.5566971,1710345699.5579026,1710345699.5579712,1710345699.5644128,1710345699.564505,38111,2zs44
tsdx4,2,logs,1710345699.5610821,1710345699.561954,1710345699.5620215,1710345699.567504,1710345699.5677493,38111,2zs44
lnvvk,1,logs,1710345699.566226,1710345699.5668466,1710345699.5669632,1710345699.5707812,1710345699.570921,38111,2zs44
tljgh,1,logs,1710345699.5690384,1710345699.5697722,1710345699.5698836,1710345699.5735762,1710345699.5736778,38111,2zs44
2cgnl,2,logs,1710345699.579812,1710345699.5814185,1710345699.581494,1710345699.5858521,1710345699.5859973,38111,2zs44
4r7gr,1,logs,1710345699.5789833,1710345699.5797417,1710345699.579837,1710345699.5873885,1710345699.5874896,38111,2zs44
dpjr5,2,logs,1710345699.6051044,1710345699.6060898,1710345699.6061735,1710345699.6093524,1710345699.6095269,38111,2zs44
nj57g,2,logs,1710345699.6072223,1710345699.608394,1710345699.6084974,1710345699.6156516,1710345699.6157901,38111,2zs44
x2chq,3,logs,1710345699.6076102,1710345699.607991,1710345699.6080601,1710345699.6187663,1710345699.6188726,38111,2zs44
m72xg,2,logs,1710345699.607832,1710345699.6086361,1710345699.608709,1710345699.6217477,1710345699.6218846,38111,2zs44
pmsjq,2,logs,1710345699.6100945,1710345699.6112149,1710345699.611291,1710345699.6252704,1710345699.6254077,38111,2zs44
tsdx4,3,logs,1710345699.6127567,1710345699.6134348,1710345699.613505,1710345699.6284244,1710345699.628563,38111,2zs44
lnvvk,2,logs,1710345699.6200836,1710345699.6208951,1710345699.6209707,1710345699.6286488,1710345699.6287167,38111,2zs44
4r7gr,2,logs,1710345699.6325688,1710345699.6330922,1710345699.6331596,1710345699.6366408,1710345699.6367805,38111,2zs44
tljgh,2,logs,1710345699.6362703,1710345699.636679,1710345699.6367476,1710345699.639845,1710345699.6399846,38111,2zs44
2cgnl,3,logs,1710345699.6360836,1710345699.6365175,1710345699.6365945,1710345699.643329,1710345699.6434689,38111,2zs44
nj57g,3,logs,1710345699.6577857,1710345699.658662,1710345699.6587424,1710345699.659804,1710345699.659947,38111,2zs44
x2chq,4,logs,1710345699.6583254,1710345699.6587188,1710345699.658786,1710345699.665045,1710345699.6652353,38111,2zs44
dpjr5,3,logs,1710345699.6633377,1710345699.6641269,1710345699.6642437,1710345699.6683543,1710345699.6685214,38111,2zs44
pmsjq,3,logs,1710345699.671746,1710345699.672206,1710345699.6722977,1710345699.6757054,1710345699.6758423,38111,2zs44
m72xg,3,logs,1710345699.6709208,1710345699.6729176,1710345699.672991,1710345699.6786659,1710345699.6788018,38111,2zs44
tsdx4,4,logs,1710345699.6767354,1710345699.6773689,1710345699.6774397,1710345699.6850984,1710345699.685279,38111,2zs44
lnvvk,3,logs,1710345699.677035,1710345699.6774669,1710345699.6775331,1710345699.6853719,1710345699.6854582,38111,2zs44
tljgh,3,logs,1710345699.6872427,1710345699.687627,1710345699.6876924,1710345699.6909008,1710345699.6910408,38111,2zs44
2cgnl,4,logs,1710345699.6883194,1710345699.6887424,1710345699.6888304,1710345699.6933963,1710345699.6935327,38111,2zs44
4r7gr,3,logs,1710345699.6899173,1710345699.690333,1710345699.6903973,1710345699.696926,1710345699.697043,38111,2zs44
nj57g,4,logs,1710345699.7083282,1710345699.7087638,1710345699.7088406,1710345699.709794,1710345699.709932,38111,2zs44
x2chq,5,logs,1710345699.7089655,1710345699.7093086,1710345699.7093744,1710345699.7147582,1710345699.714894,38111,2zs44
dpjr5,4,logs,1710345699.721358,1710345699.72186,1710345699.7219374,1710345699.7254295,1710345699.7255726,38111,2zs44
pmsjq,4,logs,1710345699.727821,1710345699.7284486,1710345699.7285273,1710345699.7320788,1710345699.7322028,38111,2zs44
tsdx4,5,logs,1710345699.7304153,1710345699.7307656,1710345699.7308345,1710345699.7344942,1710345699.7346067,38111,2zs44
lnvvk,4,logs,1710345699.733598,1710345699.7339559,1710345699.7340236,1710345699.7413967,1710345699.741535,38111,2zs44
m72xg,4,logs,1710345699.7317963,1710345699.7321558,1710345699.7322288,1710345699.7416167,1710345699.7416847,38111,2zs44
2cgnl,5,logs,1710345699.740761,1710345699.7411594,1710345699.7412248,1710345699.7468534,1710345699.7470555,38111,2zs44
tljgh,4,logs,1710345699.7399495,1710345699.7404342,1710345699.740503,1710345699.7477734,1710345699.7478776,38111,2zs44
4r7gr,4,logs,1710345699.741103,1710345699.7414854,1710345699.7415483,1710345699.75045,1710345699.750562,38111,2zs44
nj57g,5,logs,1710345699.7591314,1710345699.759508,1710345699.7595875,1710345699.7605317,1710345699.7606685,38111,2zs44
x2chq,6,logs,1710345699.75951,1710345699.7598672,1710345699.759933,1710345699.765578,1710345699.7657454,38137,2zs44
dpjr5,5,logs,1710345699.772034,1710345699.7725863,1710345699.7726884,1710345699.775422,1710345699.7755723,38111,2zs44
tsdx4,6,logs,1710345699.7812335,1710345699.781603,1710345699.7816703,1710345699.784996,1710345699.7851522,38137,2zs44
pmsjq,5,logs,1710345699.7819393,1710345699.7824762,1710345699.7825506,1710345699.7872627,1710345699.7873797,38111,2zs44
lnvvk,5,logs,1710345699.7842655,1710345699.7852182,1710345699.7852879,1710345699.7909598,1710345699.791139,38111,2zs44
tljgh,5,logs,1710345699.790452,1710345699.7908456,1710345699.7909143,1710345699.793434,1710345699.7935374,38111,2zs44
m72xg,5,logs,1710345699.790984,1710345699.7913728,1710345699.7914445,1710345699.7976537,1710345699.7977695,38111,2zs44
2cgnl,6,logs,1710345699.791441,1710345699.791876,1710345699.7919683,1710345699.8006887,1710345699.800924,38137,2zs44
4r7gr,5,logs,1710345699.7917325,1710345699.792071,1710345699.7921371,1710345699.8037326,1710345699.8038328,38111,2zs44
nj57g,6,logs,1710345699.8099139,1710345699.8104732,1710345699.8105648,1710345699.8115935,1710345699.8117297,38137,2zs44
x2chq,7,logs,1710345699.8107443,1710345699.8111672,1710345699.8112304,1710345699.8165789,1710345699.8166933,38111,2zs44
dpjr5,6,logs,1710345699.8259065,1710345699.826384,1710345699.8264663,1710345699.8292427,1710345699.8293943,38137,2zs44
tsdx4,7,logs,1710345699.8341348,1710345699.8344908,1710345699.8345613,1710345699.8371327,1710345699.8373022,38111,2zs44
lnvvk,6,logs,1710345699.8391163,1710345699.8394794,1710345699.839546,1710345699.8431454,1710345699.8433137,38137,2zs44
pmsjq,6,logs,1710345699.8394806,1710345699.839933,1710345699.8400192,1710345699.8449807,1710345699.8450992,38137,2zs44
m72xg,6,logs,1710345699.8418314,1710345699.842165,1710345699.8422356,1710345699.849177,1710345699.8493245,38137,2zs44
