id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size,id_server
ssz97,1,vectorized_logs,1710346043.9423234,1710346043.9431534,1710346044.011662,1710346044.015158,1710346044.0157468,30802,w45mx
5ntjj,1,vectorized_logs,1710346043.938611,1710346043.9391844,1710346044.0161037,1710346044.0192473,1710346044.0193932,30802,w45mx
z954g,1,vectorized_logs,1710346043.9604895,1710346043.9620407,1710346044.0290124,1710346044.032368,1710346044.03256,30802,w45mx
ssz97,2,vectorized_logs,1710346043.9978282,1710346044.0125113,1710346044.0324433,1710346044.0349233,1710346044.0350373,30771,w45mx
5ntjj,2,vectorized_logs,1710346043.9891238,1710346044.0171695,1710346044.0387213,1710346044.0411527,1710346044.0413423,30771,w45mx
ctbl7,1,vectorized_logs,1710346043.974448,1710346043.9751391,1710346044.0434432,1710346044.0463014,1710346044.0464602,30802,w45mx
z954g,2,vectorized_logs,1710346044.0185587,1710346044.0296884,1710346044.0499496,1710346044.0523794,1710346044.0524561,30771,w45mx
hkz7q,1,vectorized_logs,1710346043.976594,1710346043.9776797,1710346044.0502758,1710346044.0555897,1710346044.055669,30802,w45mx
5ntjj,3,vectorized_logs,1710346044.0412061,1710346044.0416093,1710346044.0621233,1710346044.0648663,1710346044.064944,30833,w45mx
ctbl7,2,vectorized_logs,1710346044.0378387,1710346044.044117,1710346044.063729,1710346044.0672295,1710346044.0672815,30771,w45mx
hmxdq,1,vectorized_logs,1710346043.9870853,1710346043.9878845,1710346044.0654738,1710346044.0704892,1710346044.0705612,30802,w45mx
ssz97,3,vectorized_logs,1710346044.0484917,1710346044.0490782,1710346044.0684063,1710346044.0726087,1710346044.072711,30833,w45mx
hkz7q,2,vectorized_logs,1710346044.0351903,1710346044.0512626,1710346044.0710933,1710346044.075553,1710346044.07568,30771,w45mx
77tg9,1,vectorized_logs,1710346044.0022624,1710346044.0031211,1710346044.076971,1710346044.08313,1710346044.0832355,30802,w45mx
hmxdq,2,vectorized_logs,1710346044.0655038,1710346044.066263,1710346044.0858436,1710346044.0887938,1710346044.0888848,30771,w45mx
knxt2,1,vectorized_logs,1710346043.9812908,1710346043.9823604,1710346044.0866337,1710346044.0913818,1710346044.0915487,30802,w45mx
z954g,3,vectorized_logs,1710346044.0693882,1710346044.070204,1710346044.0894094,1710346044.0934546,1710346044.093568,30833,w45mx
km45z,1,vectorized_logs,1710346044.0032954,1710346044.0040066,1710346044.0930018,1710346044.0964937,1710346044.0966024,30802,w45mx
77tg9,2,vectorized_logs,1710346044.0529108,1710346044.0777736,1710346044.0974505,1710346044.0997968,1710346044.0999582,30771,w45mx
5ntjj,4,vectorized_logs,1710346044.0966523,1710346044.097048,1710346044.1164198,1710346044.11885,1710346044.118964,30690,w45mx
knxt2,2,vectorized_logs,1710346044.0473697,1710346044.0877755,1710346044.1168938,1710346044.1225603,1710346044.1226296,30771,w45mx
hkz7q,3,vectorized_logs,1710346044.0984373,1710346044.0989509,1710346044.1185336,1710346044.1255329,1710346044.1255903,30833,w45mx
g5pkn,1,vectorized_logs,1710346044.0483317,1710346044.0493069,1710346044.1155539,1710346044.1268177,1710346044.1268795,30802,w45mx
ctbl7,3,vectorized_logs,1710346044.0992517,1710346044.1000829,1710346044.1199353,1710346044.1292262,1710346044.1293116,30833,w45mx
ssz97,4,vectorized_logs,1710346044.1018374,1710346044.102491,1710346044.1219692,1710346044.1317613,1710346044.1318402,30690,w45mx
km45z,2,vectorized_logs,1710346044.0837164,1710346044.0940378,1710346044.1231897,1710346044.1346903,1710346044.1347523,30771,w45mx
77tg9,3,vectorized_logs,1710346044.1152382,1710346044.1156313,1710346044.134722,1710346044.1370988,1710346044.1371593,30833,w45mx
g5pkn,2,vectorized_logs,1710346044.1104221,1710346044.1161187,1710346044.1354544,1710346044.1395407,1710346044.1396,30771,w45mx
z954g,4,vectorized_logs,1710346044.1206014,1710346044.1210213,1710346044.140041,1710346044.1421783,1710346044.1422358,30690,w45mx
