id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size,id_server
59d4r,1,vectorized_logs,1710352042.6099565,1710352042.6106904,1710352042.6950595,1710352042.6966724,1710352042.6973455,30802,j5xs7
z9bx4,1,vectorized_logs,1710352042.621544,1710352042.6227992,1710352042.7186143,1710352042.7200844,1710352042.720334,30802,j5xs7
zqs62,1,vectorized_logs,1710352042.64347,1710352042.6445453,1710352042.7248118,1710352042.7261868,1710352042.726416,30802,j5xs7
59d4r,2,vectorized_logs,1710352042.6764123,1710352042.6957922,1710352042.731229,1710352042.7353785,1710352042.735598,30771,j5xs7
bbh5g,1,vectorized_logs,1710352042.649203,1710352042.6502666,1710352042.732416,1710352042.737151,1710352042.7372932,30802,j5xs7
rsrs9,1,vectorized_logs,1710352042.6568031,1710352042.6575017,1710352042.7370586,1710352042.7392724,1710352042.7394204,30802,j5xs7
gwzct,1,vectorized_logs,1710352042.6582577,1710352042.6591182,1710352042.7438788,1710352042.745338,1710352042.7455306,30802,j5xs7
zqs62,2,vectorized_logs,1710352042.6945794,1710352042.7255049,1710352042.7455022,1710352042.7475812,1710352042.74773,30771,j5xs7
4726s,1,vectorized_logs,1710352042.6594076,1710352042.6600282,1710352042.745093,1710352042.748899,1710352042.7490401,30802,j5xs7
z9bx4,2,vectorized_logs,1710352042.672763,1710352042.7196658,1710352042.7518356,1710352042.7525067,1710352042.7526681,30771,j5xs7
bbh5g,2,vectorized_logs,1710352042.700546,1710352042.7332652,1710352042.7537518,1710352042.7621865,1710352042.7622619,30771,j5xs7
rsrs9,2,vectorized_logs,1710352042.7230532,1710352042.737627,1710352042.7574446,1710352042.7636602,1710352042.7637014,30771,j5xs7
gwzct,2,vectorized_logs,1710352042.7126584,1710352042.7447102,1710352042.76479,1710352042.7679539,1710352042.768044,30771,j5xs7
59d4r,3,vectorized_logs,1710352042.7285275,1710352042.731851,1710352042.765185,1710352042.7702687,1710352042.7703323,30833,j5xs7
6nlz2,1,vectorized_logs,1710352042.661795,1710352042.6628132,1710352042.7599242,1710352042.771817,1710352042.7719047,30802,j5xs7
