id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size
8bkbp,1,anomaly,1706719749.3306684,1706719749.345738,1706719750.0088933,1706719750.011074,1706719750.0139914,77
8bkbp,2,anomaly,1706719749.5317328,1706719750.0098655,1706719750.422731,1706719750.4236164,1706719750.4240727,77
8bkbp,3,anomaly,1706719749.7360728,1706719750.423623,1706719750.8202276,1706719750.8211448,1706719750.821587,77
8bkbp,4,anomaly,1706719749.93667,1706719750.8209085,1706719751.2200396,1706719751.2209792,1706719751.2213762,77
8bkbp,5,anomaly,1706719750.1400347,1706719751.2206788,1706719751.639533,1706719751.6404278,1706719751.6408517,77
8bkbp,6,anomaly,1706719750.3408933,1706719751.6402764,1706719752.0505607,1706719752.0514245,1706719752.0518575,77
8bkbp,7,anomaly,1706719750.5439904,1706719752.0512218,1706719752.536128,1706719752.5372083,1706719752.5376241,77
8bkbp,8,anomaly,1706719750.74463,1706719752.5368326,1706719752.9561794,1706719752.9571998,1706719752.9576433,77
8bkbp,9,anomaly,1706719750.9480648,1706719752.956903,1706719753.3438916,1706719753.3448632,1706719753.345254,77
8bkbp,10,anomaly,1706719751.1513944,1706719753.344586,1706719753.7446768,1706719753.745563,1706719753.7460186,77
8bkbp,11,anomaly,1706719751.3520665,1706719753.7453618,1706719754.1499584,1706719754.150832,1706719754.1512492,77
8bkbp,12,anomaly,1706719751.55865,1706719754.1506827,1706719754.5721886,1706719754.5730667,1706719754.5734584,77
8bkbp,13,anomaly,1706719751.760036,1706719754.5729609,1706719754.9636939,1706719754.9646962,1706719754.9650843,77
8bkbp,14,anomaly,1706719751.9640183,1706719754.9644678,1706719755.3698366,1706719755.3708203,1706719755.3712766,77
8bkbp,15,anomaly,1706719752.167991,1706719755.3707457,1706719755.7905169,1706719755.791591,1706719755.7920296,77
8bkbp,16,anomaly,1706719752.372054,1706719755.7913992,1706719756.183329,1706719756.184343,1706719756.1847298,77
8bkbp,17,anomaly,1706719752.5735102,1706719756.1842966,1706719756.6039803,1706719756.6048896,1706719756.6053054,77
8bkbp,18,anomaly,1706719752.7760196,1706719756.6046915,1706719757.0075994,1706719757.0085757,1706719757.008956,77
8bkbp,19,anomaly,1706719752.976801,1706719757.0083253,1706719757.394267,1706719757.395243,1706719757.3956366,77
8bkbp,20,anomaly,1706719753.1800117,1706719757.3950636,1706719757.7872732,1706719757.788137,1706719757.7885613,77
8bkbp,21,anomaly,1706719753.3823252,1706719757.7880783,1706719758.1837366,1706719758.1846073,1706719758.1850536,77
8bkbp,22,anomaly,1706719753.5839753,1706719758.1844857,1706719758.5641055,1706719758.5649447,1706719758.5653777,77
8bkbp,23,anomaly,1706719753.7846375,1706719758.5648434,1706719758.9488082,1706719758.949643,1706719758.950132,77
8bkbp,24,anomaly,1706719753.9879875,1706719758.9494944,1706719759.34008,1706719759.3411133,1706719759.3415804,77
8bkbp,25,anomaly,1706719754.188756,1706719759.3407779,1706719759.7317712,1706719759.7327917,1706719759.7331672,77
8bkbp,26,anomaly,1706719754.3920517,1706719759.7325919,1706719760.1137486,1706719760.1147702,1706719760.115165,77
8bkbp,27,anomaly,1706719754.5926483,1706719760.1145945,1706719760.5002525,1706719760.5012174,1706719760.5016375,77
8bkbp,28,anomaly,1706719754.7960396,1706719760.5009747,1706719760.8923151,1706719760.8933687,1706719760.893814,77
