id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size
kcc9n,1,logs,1706633003.6619081,1706633003.6794353,1706633003.679441,1706633003.6823711,1706633003.912537,356
kcc9n,2,logs,1706633003.8629332,1706633003.8633008,1706633003.8633206,1706633003.9126165,1706633003.9706047,366
kcc9n,3,logs,1706633004.0638573,1706633004.064241,1706633004.0642607,1706633004.0655897,1706633004.1369784,378
kcc9n,4,logs,1706633004.2645922,1706633004.264964,1706633004.2649686,1706633004.2662826,1706633004.334097,364
kcc9n,5,logs,1706633004.4655313,1706633004.4659646,1706633004.4659698,1706633004.467202,1706633004.5348094,383
kcc9n,6,logs,1706633004.666384,1706633004.6668158,1706633004.6668215,1706633004.6680908,1706633004.7465374,369
kcc9n,7,logs,1706633004.8672369,1706633004.8676517,1706633004.8676567,1706633004.8688407,1706633004.9386585,364
kcc9n,8,logs,1706633005.067945,1706633005.0683618,1706633005.0683665,1706633005.0697174,1706633005.1408496,369
kcc9n,9,logs,1706633005.268749,1706633005.2691498,1706633005.2691555,1706633005.2704744,1706633005.3491294,402
kcc9n,10,logs,1706633005.4695141,1706633005.4698877,1706633005.4698918,1706633005.4712179,1706633005.547147,375
kcc9n,11,logs,1706633005.6703222,1706633005.6709957,1706633005.671004,1706633005.672421,1706633005.747641,380
kcc9n,12,logs,1706633005.8711762,1706633005.8718047,1706633005.8718126,1706633005.8731894,1706633005.9441702,377
kcc9n,13,logs,1706633006.072452,1706633006.073145,1706633006.0731554,1706633006.0748057,1706633006.1624787,381
kcc9n,14,logs,1706633006.2732625,1706633006.2739253,1706633006.2739348,1706633006.2753546,1706633006.3532796,379
kcc9n,15,logs,1706633006.474217,1706633006.4749143,1706633006.4749246,1706633006.4764483,1706633006.5598693,360
kcc9n,16,logs,1706633006.6751559,1706633006.6758497,1706633006.6758587,1706633006.6772733,1706633006.748115,380
kcc9n,17,logs,1706633006.8761213,1706633006.8768153,1706633006.876826,1706633006.8782609,1706633006.9437535,380
kcc9n,18,logs,1706633007.076909,1706633007.077568,1706633007.077579,1706633007.078943,1706633007.1558795,377
kcc9n,19,logs,1706633007.2778327,1706633007.278503,1706633007.2785163,1706633007.2798316,1706633007.3501043,385
kcc9n,20,logs,1706633007.4787445,1706633007.4793763,1706633007.4793854,1706633007.4811208,1706633007.548001,373
kcc9n,21,logs,1706633007.6798203,1706633007.680486,1706633007.680496,1706633007.68174,1706633007.7607934,385
