id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size
nltzc,1,vectorized_logs,1706522780.8607745,1706522780.870294,1706522780.9514048,1706522780.9535484,1706522781.1185954,392
nltzc,2,vectorized_logs,1706522781.0623977,1706522781.0628054,1706522781.0829816,1706522781.118686,1706522781.1554406,390
nltzc,3,vectorized_logs,1706522781.2631617,1706522781.26359,1706522781.2841237,1706522781.2853515,1706522781.3435833,395
nltzc,4,vectorized_logs,1706522781.46397,1706522781.464438,1706522781.4848003,1706522781.485996,1706522781.5427358,393
nltzc,5,vectorized_logs,1706522781.6647646,1706522781.6651347,1706522781.6852126,1706522781.6864264,1706522781.7447124,392
nltzc,6,vectorized_logs,1706522781.8655229,1706522781.8659544,1706522781.8860657,1706522781.887251,1706522781.9432187,389
nltzc,7,vectorized_logs,1706522782.0663176,1706522782.0667694,1706522782.0877829,1706522782.0889525,1706522782.1471713,388
nltzc,8,vectorized_logs,1706522782.2671206,1706522782.2677827,1706522782.2889538,1706522782.2900488,1706522782.346756,400
nltzc,9,vectorized_logs,1706522782.4678912,1706522782.4683602,1706522782.4885793,1706522782.4894774,1706522782.5456574,400
nltzc,10,vectorized_logs,1706522782.668673,1706522782.6690967,1706522782.6897514,1706522782.690895,1706522782.7486,402
nltzc,11,vectorized_logs,1706522782.8693974,1706522782.869806,1706522782.8904014,1706522782.891503,1706522782.945652,401
nltzc,12,vectorized_logs,1706522783.0701826,1706522783.0705252,1706522783.090697,1706522783.0917952,1706522783.1458883,391
nltzc,13,vectorized_logs,1706522783.2709465,1706522783.2713127,1706522783.2911673,1706522783.2922494,1706522783.3418064,397
nltzc,14,vectorized_logs,1706522783.471642,1706522783.4720304,1706522783.4923868,1706522783.49354,1706522783.544635,400
nltzc,15,vectorized_logs,1706522783.6723702,1706522783.6728349,1706522783.6940968,1706522783.69526,1706522783.7481444,399
nltzc,16,vectorized_logs,1706522783.8731894,1706522783.8736885,1706522783.8951447,1706522783.896381,1706522783.9507704,401
nltzc,17,vectorized_logs,1706522784.0740366,1706522784.074492,1706522784.0951984,1706522784.0964653,1706522784.1520011,385
nltzc,18,vectorized_logs,1706522784.2748578,1706522784.2752204,1706522784.2962973,1706522784.297476,1706522784.3528795,384
nltzc,19,vectorized_logs,1706522784.4756367,1706522784.476197,1706522784.496903,1706522784.4981296,1706522784.5575016,501
nltzc,20,vectorized_logs,1706522784.6764047,1706522784.6767461,1706522784.696612,1706522784.6979353,1706522784.751286,396
nltzc,21,vectorized_logs,1706522784.8771791,1706522784.8775887,1706522784.898353,1706522784.8996012,1706522784.9532201,394
nltzc,22,vectorized_logs,1706522785.0779784,1706522785.0784652,1706522785.0992498,1706522785.1006303,1706522785.1560984,395
nltzc,23,vectorized_logs,1706522785.278808,1706522785.2792258,1706522785.3001914,1706522785.3013668,1706522785.3492095,392
nltzc,24,vectorized_logs,1706522785.4796247,1706522785.4800372,1706522785.5001903,1706522785.5014517,1706522785.5580728,408
nltzc,25,vectorized_logs,1706522785.6803389,1706522785.6806872,1706522785.7005036,1706522785.7017763,1706522785.7586062,401
nltzc,26,vectorized_logs,1706522785.8811324,1706522785.8814757,1706522785.9014676,1706522785.9025986,1706522785.9585817,403
nltzc,27,vectorized_logs,1706522786.081897,1706522786.082381,1706522786.1032383,1706522786.104375,1706522786.152192,397
nltzc,28,vectorized_logs,1706522786.2826433,1706522786.283085,1706522786.3057497,1706522786.3069532,1706522786.3546205,393
nltzc,29,vectorized_logs,1706522786.4834566,1706522786.4838846,1706522786.5041935,1706522786.505437,1706522786.5639613,395
nltzc,30,vectorized_logs,1706522786.6842914,1706522786.6846497,1706522786.708126,1706522786.7095125,1706522786.7597303,397
nltzc,31,vectorized_logs,1706522786.8850899,1706522786.8854587,1706522786.9053416,1706522786.9066823,1706522786.9633927,391
nltzc,32,vectorized_logs,1706522787.0859935,1706522787.0864825,1706522787.1083715,1706522787.1095667,1706522787.1588843,395
nltzc,33,vectorized_logs,1706522787.2868197,1706522787.2872224,1706522787.3084018,1706522787.3095286,1706522787.3631275,389
nltzc,34,vectorized_logs,1706522787.4876373,1706522787.488093,1706522787.509086,1706522787.5102303,1706522787.5646582,400
