id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size
tv26b,1,vectorized_logs,1706631038.5598454,1706631038.5769255,1706631038.6688294,1706631038.6717186,1706631038.9129384,902
tv26b,2,vectorized_logs,1706631038.76087,1706631038.7611966,1706631038.7832212,1706631038.9130101,1706631039.0059779,783
tv26b,3,vectorized_logs,1706631038.9645658,1706631038.9649081,1706631038.9863734,1706631039.0060406,1706631039.1023915,572
tv26b,4,vectorized_logs,1706631039.165404,1706631039.165791,1706631039.1874175,1706631039.1890032,1706631039.295775,592
tv26b,5,vectorized_logs,1706631039.3660553,1706631039.3664048,1706631039.3884227,1706631039.3901246,1706631039.5059633,592
tv26b,6,vectorized_logs,1706631039.5668736,1706631039.567217,1706631039.588531,1706631039.5901644,1706631039.7075105,569
tv26b,7,vectorized_logs,1706631039.7678118,1706631039.7681315,1706631039.7888806,1706631039.7906392,1706631039.8973906,583
tv26b,8,vectorized_logs,1706631039.968484,1706631039.9687927,1706631039.9892535,1706631039.9909477,1706631040.1219344,582
tv26b,9,vectorized_logs,1706631040.16916,1706631040.1694589,1706631040.1899412,1706631040.191634,1706631040.3014593,562
tv26b,10,vectorized_logs,1706631040.3698113,1706631040.3701568,1706631040.3912816,1706631040.393002,1706631040.506104,570
tv26b,11,vectorized_logs,1706631040.5705464,1706631040.5708683,1706631040.5919902,1706631040.5938957,1706631040.7105348,575
tv26b,12,vectorized_logs,1706631040.7714145,1706631040.7717586,1706631040.7936242,1706631040.7953634,1706631040.9141016,559
tv26b,13,vectorized_logs,1706631040.9724078,1706631040.972732,1706631040.9937313,1706631040.9955423,1706631041.098062,578
tv26b,14,vectorized_logs,1706631041.1731944,1706631041.1735125,1706631041.194258,1706631041.1958764,1706631041.308472,581
tv26b,15,vectorized_logs,1706631041.374118,1706631041.374547,1706631041.3968396,1706631041.3985698,1706631041.5109117,578
tv26b,16,vectorized_logs,1706631041.5748832,1706631041.5752132,1706631041.597008,1706631041.5988812,1706631041.7082775,581
tv26b,17,vectorized_logs,1706631041.7759447,1706631041.776334,1706631041.797287,1706631041.7990289,1706631041.9051013,570
tv26b,18,vectorized_logs,1706631041.976797,1706631041.9771056,1706631041.9981923,1706631042.0000682,1706631042.106543,563
tv26b,19,vectorized_logs,1706631042.1776493,1706631042.177948,1706631042.1988106,1706631042.2008054,1706631042.3166075,577
tv26b,20,vectorized_logs,1706631042.3785465,1706631042.378882,1706631042.4000416,1706631042.4018283,1706631042.501967,591
tv26b,21,vectorized_logs,1706631042.5794065,1706631042.579733,1706631042.6011984,1706631042.6030614,1706631042.7146466,576
tv26b,22,vectorized_logs,1706631042.7803166,1706631042.780641,1706631042.802272,1706631042.8042192,1706631042.92436,584
tv26b,23,vectorized_logs,1706631042.9811645,1706631042.9814868,1706631043.0024464,1706631043.004128,1706631043.1143177,585
tv26b,24,vectorized_logs,1706631043.1821053,1706631043.1824222,1706631043.2033129,1706631043.2055655,1706631043.315486,554
tv26b,25,vectorized_logs,1706631043.3828564,1706631043.3832033,1706631043.404624,1706631043.406523,1706631043.5169559,572
tv26b,26,vectorized_logs,1706631043.5838988,1706631043.5842857,1706631043.6058824,1706631043.6076348,1706631043.702736,577
tv26b,27,vectorized_logs,1706631043.7847645,1706631043.7851996,1706631043.807547,1706631043.8093228,1706631043.9180977,560
tv26b,28,vectorized_logs,1706631043.9856312,1706631043.9859834,1706631044.0075483,1706631044.0095117,1706631044.1272788,574
tv26b,29,vectorized_logs,1706631044.1864367,1706631044.1867914,1706631044.2093556,1706631044.2111318,1706631044.3226094,581
tv26b,30,vectorized_logs,1706631044.387307,1706631044.3878152,1706631044.4090202,1706631044.410887,1706631044.5172753,562
tv26b,31,vectorized_logs,1706631044.5882835,1706631044.5887392,1706631044.6108527,1706631044.6126838,1706631044.7150006,583
tv26b,32,vectorized_logs,1706631044.789168,1706631044.7895026,1706631044.810675,1706631044.8127134,1706631044.9329493,563
tv26b,33,vectorized_logs,1706631044.9901655,1706631044.9906363,1706631045.013781,1706631045.0157595,1706631045.1341672,559
tv26b,34,vectorized_logs,1706631045.1910856,1706631045.1914847,1706631045.2132564,1706631045.2153292,1706631045.3283098,578
tv26b,35,vectorized_logs,1706631045.392101,1706631045.39258,1706631045.414458,1706631045.4164681,1706631045.5274787,577
tv26b,36,vectorized_logs,1706631045.592918,1706631045.59325,1706631045.6143012,1706631045.6162152,1706631045.7306004,577
tv26b,37,vectorized_logs,1706631045.7934775,1706631045.7937841,1706631045.814788,1706631045.8165946,1706631045.9227397,583
tv26b,38,vectorized_logs,1706631045.994249,1706631045.9945738,1706631046.0163739,1706631046.0184839,1706631046.1380253,578
tv26b,39,vectorized_logs,1706631046.1949322,1706631046.1952958,1706631046.2170038,1706631046.2189527,1706631046.3466706,576
tv26b,40,vectorized_logs,1706631046.3958223,1706631046.3961887,1706631046.4172733,1706631046.4189873,1706631046.5276225,565
tv26b,41,vectorized_logs,1706631046.5966856,1706631046.597092,1706631046.618912,1706631046.620853,1706631046.7324867,572
tv26b,42,vectorized_logs,1706631046.7976117,1706631046.7979298,1706631046.8187237,1706631046.8206675,1706631046.9331832,577
