id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time
qmsxn,1,vectorized_logs,1706002667.4353178,1706002667.46155,1706002667.551411,1706002667.5514057,1706002667.7163723
qmsxn,2,vectorized_logs,1706002667.5369325,1706002667.5520582,1706002667.5740738,1706002667.7165277,1706002667.7540414
qmsxn,3,vectorized_logs,1706002667.6386743,1706002667.675737,1706002667.708247,1706002667.75417,1706002667.7935948
7m8kc,1,vectorized_logs,1706002667.4565153,1706002667.500157,1706002667.5853133,1706002667.7937832,1706002667.8312895
24dql,1,vectorized_logs,1706002667.4558518,1706002667.5556161,1706002667.6558876,1706002667.831404,1706002667.8667636
8sctx,1,vectorized_logs,1706002667.4644108,1706002667.5656009,1706002667.6621964,1706002667.8669355,1706002667.907318
7m8kc,2,vectorized_logs,1706002667.558114,1706002667.5861235,1706002667.60765,1706002667.9074724,1706002667.947115
24dql,2,vectorized_logs,1706002667.5573008,1706002667.656566,1706002667.6769967,1706002667.9472563,1706002667.9888027
8sctx,2,vectorized_logs,1706002667.5700982,1706002667.6627905,1706002667.6828892,1706002667.9889257,1706002668.0214741
7m8kc,3,vectorized_logs,1706002667.6636019,1706002667.7086003,1706002667.7293682,1706002668.0215957,1706002668.0556364
24dql,3,vectorized_logs,1706002667.6627405,1706002667.6775465,1706002667.6968713,1706002668.0557559,1706002668.0911632
8sctx,3,vectorized_logs,1706002667.6712186,1706002667.6833918,1706002667.7030895,1706002668.0912976,1706002668.1282206
7m8kc,4,vectorized_logs,1706002667.7647955,1706002667.8302407,1706002667.8503163,1706002668.1283367,1706002668.1627433
24dql,4,vectorized_logs,1706002667.7650247,1706002667.7981234,1706002667.8280058,1706002668.162861,1706002668.1942356
8sctx,4,vectorized_logs,1706002667.7725785,1706002667.8042483,1706002667.8368857,1706002668.1943796,1706002668.2328305
7m8kc,5,vectorized_logs,1706002667.8664205,1706002667.9518151,1706002667.9822736,1706002668.2330024,1706002668.2707734
24dql,5,vectorized_logs,1706002667.866481,1706002667.9294097,1706002667.9596214,1706002668.2708967,1706002668.3098829
8sctx,5,vectorized_logs,1706002667.8741183,1706002667.9381158,1706002667.9699597,1706002668.3100107,1706002668.3449824
7m8kc,6,vectorized_logs,1706002667.9672618,1706002667.9827569,1706002668.0024986,1706002668.3451045,1706002668.3779154
24dql,6,vectorized_logs,1706002667.9679482,1706002668.0606582,1706002668.0894866,1706002668.3780682,1706002668.4104426
8sctx,6,vectorized_logs,1706002667.9749215,1706002668.071034,1706002668.0981693,1706002668.4105546,1706002668.4478812
7m8kc,7,vectorized_logs,1706002668.0680275,1706002668.104241,1706002668.1353638,1706002668.4480133,1706002668.490653
24dql,7,vectorized_logs,1706002668.069525,1706002668.090024,1706002668.1090932,1706002668.4907992,1706002668.5277996
8sctx,7,vectorized_logs,1706002668.0760698,1706002668.0987427,1706002668.1185153,1706002668.5279248,1706002668.5652483
7m8kc,8,vectorized_logs,1706002668.1700172,1706002668.2368004,1706002668.2672207,1706002668.565366,1706002668.602744
24dql,8,vectorized_logs,1706002668.1705954,1706002668.2103364,1706002668.2423387,1706002668.602862,1706002668.6393096
8sctx,8,vectorized_logs,1706002668.177588,1706002668.219914,1706002668.2516146,1706002668.6394355,1706002668.6750362
7m8kc,9,vectorized_logs,1706002668.271591,1706002668.368597,1706002668.4071565,1706002668.6751776,1706002668.7077448
24dql,9,vectorized_logs,1706002668.2723753,1706002668.3435342,1706002668.376081,1706002668.7079165,1706002668.7454317
8sctx,9,vectorized_logs,1706002668.2789478,1706002668.35303,1706002668.3853745,1706002668.7455528,1706002668.7821343
7m8kc,10,vectorized_logs,1706002668.3740654,1706002668.4076831,1706002668.427326,1706002668.7822552,1706002668.8156693
24dql,10,vectorized_logs,1706002668.3739145,1706002668.3766592,1706002668.395772,1706002668.8157823,1706002668.8496392
8sctx,10,vectorized_logs,1706002668.3798249,1706002668.3860035,1706002668.4055998,1706002668.8497503,1706002668.8845987
7m8kc,11,vectorized_logs,1706002668.4759486,1706002668.5294619,1706002668.5601547,1706002668.884722,1706002668.925144
