id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size,id_server
m4v6j,1,vectorized_logs,1707669423.1089215,1707669423.109494,1707669423.1621923,1707669423.1637714,1707669423.4068973,293,92cxd
m4v6j,2,vectorized_logs,1707669423.3101828,1707669423.3104186,1707669423.322529,1707669423.4069808,1707669423.4606018,268,92cxd
m4v6j,3,vectorized_logs,1707669423.5111754,1707669423.5114434,1707669423.5232263,1707669423.5240595,1707669423.5973575,261,92cxd
m4v6j,4,vectorized_logs,1707669423.7124405,1707669423.712702,1707669423.7257812,1707669423.7266576,1707669423.7911406,271,92cxd
m4v6j,5,vectorized_logs,1707669423.9136348,1707669423.9138806,1707669423.92602,1707669423.926845,1707669423.9939792,264,92cxd
m4v6j,6,vectorized_logs,1707669424.1146858,1707669424.1149156,1707669424.1270869,1707669424.127675,1707669424.1897323,272,92cxd
m4v6j,7,vectorized_logs,1707669424.3158114,1707669424.3160694,1707669424.3279307,1707669424.328858,1707669424.401863,273,92cxd
m4v6j,8,vectorized_logs,1707669424.5168743,1707669424.5171256,1707669424.5292766,1707669424.5303702,1707669424.598759,268,92cxd
m4v6j,9,vectorized_logs,1707669424.718119,1707669424.7183905,1707669424.7304928,1707669424.7316055,1707669424.7977912,308,92cxd
m4v6j,10,vectorized_logs,1707669424.9191442,1707669424.9193866,1707669424.9307435,1707669424.9317536,1707669424.9904008,290,92cxd
m4v6j,11,vectorized_logs,1707669425.120119,1707669425.120367,1707669425.1324556,1707669425.1333225,1707669425.1960456,292,92cxd
m4v6j,12,vectorized_logs,1707669425.3211436,1707669425.32136,1707669425.332655,1707669425.3335927,1707669425.397216,293,92cxd
m4v6j,13,vectorized_logs,1707669425.5221357,1707669425.5223653,1707669425.533516,1707669425.5344334,1707669425.609301,292,92cxd
m4v6j,14,vectorized_logs,1707669425.723192,1707669425.7234497,1707669425.7351856,1707669425.7361577,1707669425.8055584,293,92cxd
m4v6j,15,vectorized_logs,1707669425.9241571,1707669425.9243884,1707669425.935917,1707669425.9367769,1707669426.0019116,271,92cxd
m4v6j,16,vectorized_logs,1707669426.1249857,1707669426.1252391,1707669426.137364,1707669426.1382785,1707669426.2109382,265,92cxd
m4v6j,17,vectorized_logs,1707669426.325765,1707669426.3259854,1707669426.3374684,1707669426.3384213,1707669426.4063747,266,92cxd
m4v6j,18,vectorized_logs,1707669426.526525,1707669426.5267549,1707669426.53867,1707669426.5396354,1707669426.6096666,266,92cxd
m4v6j,19,vectorized_logs,1707669426.7273562,1707669426.727633,1707669426.7397907,1707669426.74072,1707669426.8087463,267,92cxd
m4v6j,20,vectorized_logs,1707669426.9281433,1707669426.9283712,1707669426.9399905,1707669426.9408903,1707669427.012424,267,92cxd
m4v6j,21,vectorized_logs,1707669427.1288795,1707669427.1290941,1707669427.1409779,1707669427.14198,1707669427.2153382,267,92cxd
m4v6j,22,vectorized_logs,1707669427.3297293,1707669427.3299446,1707669427.34166,1707669427.342596,1707669427.4050467,267,92cxd
m4v6j,23,vectorized_logs,1707669427.5305004,1707669427.5307312,1707669427.5430222,1707669427.5439942,1707669427.6082172,266,92cxd
m4v6j,24,vectorized_logs,1707669427.7313676,1707669427.7317364,1707669427.7433493,1707669427.744223,1707669427.813526,266,92cxd
m4v6j,25,vectorized_logs,1707669427.9320512,1707669427.9322917,1707669427.9440465,1707669427.9448266,1707669428.0167747,264,92cxd
m4v6j,26,vectorized_logs,1707669428.1332421,1707669428.1334996,1707669428.1453261,1707669428.146269,1707669428.2122538,267,92cxd
m4v6j,27,vectorized_logs,1707669428.334176,1707669428.334427,1707669428.346528,1707669428.347636,1707669428.4166484,267,92cxd
m4v6j,28,vectorized_logs,1707669428.534953,1707669428.5351756,1707669428.5470111,1707669428.5480173,1707669428.6248786,267,92cxd
m4v6j,29,vectorized_logs,1707669428.7357783,1707669428.736004,1707669428.7473733,1707669428.7482111,1707669428.8211496,267,92cxd
