id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size
7zpnr,1,logs,1706709057.381282,1706709057.3945584,1706709057.394563,1706709057.398393,1706709058.0619314,1589
7zpnr,2,logs,1706709057.5823085,1706709057.5827577,1706709057.5827856,1706709058.0620177,1706709058.4568474,1066
7zpnr,3,logs,1706709057.7832046,1706709057.7839165,1706709057.7839258,1706709058.4569218,1706709058.8279505,1063
7zpnr,4,logs,1706709057.984082,1706709057.9844651,1706709057.984473,1706709058.8280234,1706709059.2483146,1059
7zpnr,5,logs,1706709058.1850367,1706709058.1854782,1706709058.1854882,1706709059.2483783,1706709059.660531,1064
7zpnr,6,logs,1706709058.3858871,1706709058.3863342,1706709058.3863466,1706709059.6605947,1706709060.058659,1067
7zpnr,7,logs,1706709058.5866725,1706709058.5870488,1706709058.587058,1706709060.0587404,1706709060.4486418,1053
7zpnr,8,logs,1706709058.7875025,1706709058.7879705,1706709058.7879896,1706709060.4487054,1706709060.8318093,1071
7zpnr,9,logs,1706709058.9880393,1706709058.9883838,1706709058.9883924,1706709060.8318691,1706709061.2285073,1368
7zpnr,10,logs,1706709059.188806,1706709059.1891742,1706709059.1891851,1706709061.2285593,1706709061.6231635,1290
7zpnr,11,logs,1706709059.389358,1706709059.389712,1706709059.3897214,1706709061.623227,1706709061.9982052,1275
7zpnr,12,logs,1706709059.5900698,1706709059.590443,1706709059.590452,1706709061.9982705,1706709062.4282358,1300
7zpnr,13,logs,1706709059.7909527,1706709059.7913098,1706709059.7913172,1706709062.428298,1706709062.868276,1284
7zpnr,14,logs,1706709059.9918537,1706709059.9922025,1706709059.9922104,1706709062.8683426,1706709063.253342,1292
7zpnr,15,logs,1706709060.1927176,1706709060.1931243,1706709060.1931329,1706709063.2534144,1706709063.664608,1273
7zpnr,16,logs,1706709060.3937492,1706709060.394172,1706709060.3941817,1706709063.6646783,1706709064.061358,1271
7zpnr,17,logs,1706709060.5946248,1706709060.5949743,1706709060.5949814,1706709064.0614183,1706709064.4526262,1337
7zpnr,18,logs,1706709060.7955081,1706709060.7959418,1706709060.795955,1706709064.4526858,1706709064.835871,1087
7zpnr,19,logs,1706709060.9963317,1706709060.9966803,1706709060.9966862,1706709064.8359356,1706709065.2202027,1060
7zpnr,20,logs,1706709061.1971138,1706709061.1974847,1706709061.1974957,1706709065.2202618,1706709065.5983202,1057
7zpnr,21,logs,1706709061.3979266,1706709061.3983152,1706709061.398323,1706709065.598387,1706709065.9796448,1052
7zpnr,22,logs,1706709061.5987875,1706709061.5991578,1706709061.5991685,1706709065.9797306,1706709066.3469908,1046
7zpnr,23,logs,1706709061.7995758,1706709061.799917,1706709061.799924,1706709066.347054,1706709066.718327,1064
7zpnr,24,logs,1706709062.0003955,1706709062.000744,1706709062.0007539,1706709066.7183928,1706709067.0850158,1075
