id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size
zk6b5,1,vectorized_logs,1706717249.8953583,1706717249.908485,1706717249.9994042,1706717250.004392,1706717250.8048184,1774
zk6b5,2,vectorized_logs,1706717250.096502,1706717250.0969427,1706717250.1208622,1706717250.8049567,1706717251.2665393,1199
zk6b5,3,vectorized_logs,1706717250.2975662,1706717250.298103,1706717250.3224254,1706717251.2666087,1706717251.7246144,1178
zk6b5,4,vectorized_logs,1706717250.4984286,1706717250.4989648,1706717250.5230536,1706717251.7246866,1706717252.1734195,1216
zk6b5,5,vectorized_logs,1706717250.6995218,1706717250.7001665,1706717250.7250066,1706717252.1734881,1706717252.620811,1174
zk6b5,6,vectorized_logs,1706717250.9005275,1706717250.9010317,1706717250.925262,1706717252.620879,1706717253.0698373,1219
zk6b5,7,vectorized_logs,1706717251.101459,1706717251.1020014,1706717251.1279204,1706717253.0699039,1706717253.5073159,1215
zk6b5,8,vectorized_logs,1706717251.3030694,1706717251.3035853,1706717251.3289275,1706717253.507413,1706717253.9349504,1186
zk6b5,9,vectorized_logs,1706717251.5043015,1706717251.5048606,1706717251.5296266,1706717253.9350357,1706717254.3297563,1380
zk6b5,10,vectorized_logs,1706717251.7054784,1706717251.7060387,1706717251.731071,1706717254.3298333,1706717254.7143528,1331
zk6b5,11,vectorized_logs,1706717251.906624,1706717251.9071517,1706717251.9326015,1706717254.7144086,1706717255.1275964,1321
zk6b5,12,vectorized_logs,1706717252.1079178,1706717252.1099792,1706717252.1453438,1706717255.1276612,1706717255.5740793,1306
zk6b5,13,vectorized_logs,1706717252.3092136,1706717252.309821,1706717252.3354664,1706717255.574152,1706717256.0165234,1324
zk6b5,14,vectorized_logs,1706717252.5103564,1706717252.5109086,1706717252.5388627,1706717256.0166247,1706717256.4483743,1304
zk6b5,15,vectorized_logs,1706717252.711378,1706717252.7119086,1706717252.7377517,1706717256.4484534,1706717256.871988,1321
zk6b5,16,vectorized_logs,1706717252.9123037,1706717252.9128683,1706717252.9387324,1706717256.8720791,1706717257.2944868,1344
zk6b5,17,vectorized_logs,1706717253.1132412,1706717253.113791,1706717253.1391375,1706717257.294543,1706717257.7161992,1391
